iter	Passed	Remaining
0	14	14165
1	29	14498
2	46	15352
3	61	15264
4	77	15435
5	89	14747
6	102	14512
7	107	13365
8	119	13139
9	132	13102
10	144	12975
11	156	12904
12	167	12743
13	178	12576
14	190	12482
15	201	12420
16	213	12326
17	224	12264
18	236	12211
19	248	12172
20	259	12102
21	265	11797
22	277	11769
23	280	11417
24	291	11376
25	295	11084
26	309	11158
27	317	11011
28	327	10950
29	337	10924
30	347	10874
31	357	10821
32	368	10799
33	378	10749
34	383	10575
35	393	10539
36	403	10507
37	414	10490
38	419	10331
39	429	10303
40	439	10272
41	443	10105
42	453	10083
43	458	9964
44	471	9996
45	482	9998
46	492	9985
47	505	10021
48	509	9883
49	520	9881
50	530	9877
51	540	9858
52	545	9743
53	554	9722
54	565	9722
55	576	9720
56	581	9617
57	591	9604
58	595	9492
59	604	9475
60	615	9472
61	625	9462
62	635	9449
63	645	9446
64	650	9357
65	656	9284
66	666	9276
67	677	9286
68	681	9191
69	687	9140
70	692	9055
71	702	9049
72	713	9060
73	726	9089
74	736	9087
75	746	9080
76	757	9076
77	766	9066
78	778	9079
79	789	9074
80	795	9027
81	806	9023
82	816	9016
83	827	9019
84	838	9024
85	848	9014
86	859	9014
87	870	9019
88	877	8978
89	889	8993
90	900	8991
91	910	8985
92	915	8928
93	928	8949
94	940	8958
95	950	8954
96	955	8890
97	962	8854
98	972	8853
99	982	8846
100	992	8838
101	1003	8832
102	1013	8829
103	1023	8820
104	1034	8815
105	1044	8808
106	1050	8767
107	1060	8759
108	1070	8752
109	1081	8751
110	1092	8748
111	1103	8750
112	1114	8751
113	1125	8745
114	1135	8741
115	1148	8749
116	1159	8748
117	1170	8750
118	1180	8741
119	1190	8731
120	1201	8727
121	1211	8721
122	1221	8710
123	1232	8709
124	1239	8678
125	1249	8670
126	1260	8661
127	1269	8650
128	1280	8645
129	1291	8645
130	1302	8641
131	1314	8642
132	1325	8641
133	1336	8634
134	1348	8640
135	1359	8638
136	1369	8628
137	1380	8623
138	1391	8618
139	1401	8610
140	1412	8603
141	1422	8595
142	1432	8584
143	1443	8578
144	1454	8573
145	1463	8563
146	1474	8553
147	1485	8551
148	1495	8543
149	1506	8535
150	1517	8533
151	1528	8528
152	1540	8529
153	1550	8518
154	1562	8516
155	1573	8511
156	1583	8503
157	1593	8492
158	1603	8482
159	1613	8469
160	1623	8460
161	1633	8450
162	1643	8439
163	1654	8433
164	1664	8424
165	1674	8412
166	1684	8404
167	1694	8391
168	1705	8387
169	1716	8382
170	1727	8376
171	1739	8372
172	1753	8380
173	1765	8381
174	1775	8371
175	1786	8363
176	1796	8353
177	1806	8344
178	1817	8336
179	1827	8326
180	1837	8316
181	1848	8307
182	1858	8296
183	1868	8285
184	1879	8278
185	1888	8265
186	1898	8255
187	1909	8245
188	1918	8234
189	1929	8227
190	1940	8217
191	1950	8208
192	1962	8204
193	1973	8200
194	1983	8189
195	1993	8178
196	2003	8166
197	2013	8156
198	2024	8148
199	2034	8136
200	2044	8126
201	2054	8118
202	2064	8105
203	2074	8095
204	2084	8082
205	2094	8072
206	2104	8062
207	2115	8053
208	2125	8044
209	2135	8033
210	2145	8023
211	2156	8015
212	2167	8009
213	2179	8004
214	2190	7997
215	2200	7987
216	2210	7976
217	2220	7966
218	2230	7955
219	2241	7948
220	2252	7941
221	2264	7935
222	2280	7944
223	2294	7949
224	2312	7963
225	2330	7980
226	2346	7990
227	2363	8001
228	2377	8003
229	2395	8021
230	2410	8025
231	2426	8033
232	2447	8056
233	2462	8060
234	2478	8069
235	2493	8072
236	2507	8072
237	2520	8069
238	2536	8076
239	2551	8078
240	2564	8077
241	2579	8078
242	2594	8081
243	2611	8091
244	2628	8101
245	2642	8098
246	2655	8095
247	2668	8092
248	2681	8089
249	2695	8086
250	2708	8081
251	2721	8079
252	2734	8074
253	2748	8071
254	2764	8076
255	2780	8079
256	2798	8091
257	2814	8093
258	2833	8107
259	2849	8110
260	2864	8110
261	2880	8114
262	2895	8113
263	2912	8119
264	2926	8116
265	2946	8130
266	2963	8136
267	2979	8139
268	2995	8140
269	3009	8136
270	3024	8135
271	3040	8137
272	3054	8135
273	3071	8137
274	3088	8141
275	3107	8151
276	3121	8146
277	3138	8150
278	3157	8160
279	3181	8181
280	3197	8181
281	3211	8176
282	3230	8185
283	3245	8183
284	3260	8180
285	3278	8184
286	3293	8181
287	3305	8172
288	3319	8166
289	3335	8166
290	3352	8167
291	3366	8163
292	3380	8158
293	3395	8154
294	3410	8149
295	3422	8140
296	3435	8131
297	3448	8123
298	3461	8115
299	3474	8108
300	3487	8098
301	3505	8101
302	3518	8093
303	3530	8084
304	3545	8077
305	3557	8068
306	3570	8058
307	3582	8049
308	3597	8043
309	3612	8040
310	3626	8033
311	3639	8025
312	3651	8014
313	3663	8003
314	3675	7992
315	3687	7982
316	3701	7974
317	3713	7965
318	3726	7955
319	3740	7947
320	3751	7935
321	3765	7928
322	3777	7918
323	3791	7911
324	3828	7951
325	3843	7946
326	3859	7942
327	3874	7938
328	3888	7931
329	3903	7924
330	3918	7919
331	3934	7916
332	3949	7911
333	3965	7907
334	3979	7900
335	3997	7899
336	4013	7896
337	4028	7890
338	4048	7894
339	4063	7887
340	4075	7876
341	4087	7863
342	4099	7852
343	4111	7840
344	4125	7832
345	4137	7820
346	4151	7811
347	4165	7804
348	4180	7798
349	4194	7790
350	4208	7781
351	4222	7772
352	4234	7761
353	4249	7753
354	4265	7750
355	4279	7740
356	4291	7730
357	4303	7716
358	4313	7701
359	4325	7690
360	4338	7679
361	4353	7672
362	4367	7664
363	4379	7651
364	4391	7640
365	4403	7627
366	4413	7613
367	4426	7602
368	4438	7590
369	4449	7576
370	4460	7562
371	4474	7554
372	4487	7542
373	4497	7527
374	4506	7511
375	4517	7497
376	4527	7481
377	4537	7466
378	4548	7453
379	4558	7437
380	4570	7425
381	4583	7415
382	4592	7399
383	4604	7385
384	4615	7373
385	4625	7357
386	4636	7343
387	4647	7331
388	4657	7315
389	4668	7302
390	4679	7289
391	4692	7278
392	4703	7265
393	4714	7250
394	4726	7239
395	4738	7227
396	4749	7213
397	4759	7198
398	4770	7186
399	4781	7172
400	4791	7157
401	4803	7145
402	4814	7131
403	4825	7118
404	4835	7104
405	4849	7095
406	4860	7081
407	4873	7070
408	4885	7059
409	4895	7045
410	4907	7032
411	4917	7018
412	4927	7003
413	4939	6991
414	4950	6978
415	4962	6966
416	4973	6953
417	4986	6943
418	4997	6929
419	5009	6917
420	5020	6904
421	5030	6889
422	5040	6875
423	5051	6861
424	5061	6847
425	5071	6833
426	5081	6818
427	5091	6804
428	5101	6790
429	5111	6776
430	5123	6763
431	5133	6750
432	5144	6736
433	5154	6722
434	5165	6709
435	5176	6695
436	5187	6682
437	5199	6671
438	5209	6657
439	5221	6645
440	5234	6635
441	5247	6624
442	5258	6611
443	5270	6599
444	5283	6590
445	5294	6576
446	5306	6564
447	5319	6554
448	5332	6544
449	5344	6532
450	5355	6518
451	5366	6506
452	5378	6494
453	5389	6481
454	5400	6468
455	5412	6456
456	5424	6444
457	5434	6431
458	5446	6419
459	5459	6408
460	5471	6397
461	5483	6385
462	5494	6372
463	5508	6363
464	5520	6351
465	5534	6341
466	5546	6330
467	5558	6318
468	5569	6305
469	5579	6292
470	5591	6280
471	5602	6267
472	5613	6254
473	5626	6243
474	5637	6231
475	5649	6219
476	5662	6208
477	5676	6198
478	5687	6186
479	5701	6176
480	5713	6164
481	5726	6153
482	5739	6143
483	5755	6135
484	5767	6124
485	5778	6111
486	5790	6099
487	5802	6087
488	5813	6075
489	5824	6062
490	5837	6051
491	5849	6039
492	5860	6027
493	5872	6015
494	5885	6004
495	5897	5993
496	5912	5983
497	5924	5972
498	5936	5960
499	5949	5949
500	5963	5940
501	5976	5929
502	5989	5917
503	6001	5906
504	6012	5893
505	6024	5881
506	6036	5870
507	6048	5858
508	6062	5847
509	6075	5836
510	6086	5824
511	6098	5812
512	6112	5802
513	6126	5792
514	6138	5781
515	6150	5768
516	6163	5757
517	6177	5748
518	6190	5737
519	6201	5724
520	6213	5712
521	6225	5700
522	6236	5687
523	6247	5675
524	6259	5663
525	6272	5652
526	6286	5642
527	6296	5628
528	6307	5616
529	6319	5603
530	6331	5592
531	6345	5581
532	6357	5570
533	6372	5561
534	6387	5552
535	6402	5542
536	6416	5532
537	6429	5521
538	6443	5511
539	6455	5499
540	6468	5487
541	6479	5474
542	6490	5462
543	6503	5451
544	6514	5438
545	6527	5427
546	6540	5416
547	6552	5404
548	6565	5393
549	6577	5381
550	6589	5369
551	6601	5358
552	6614	5346
553	6625	5333
554	6637	5321
555	6648	5309
556	6660	5297
557	6670	5283
558	6683	5272
559	6697	5262
560	6712	5252
561	6726	5242
562	6741	5232
563	6753	5220
564	6764	5207
565	6775	5195
566	6787	5183
567	6799	5171
568	6809	5157
569	6822	5147
570	6836	5136
571	6847	5123
572	6859	5111
573	6868	5097
574	6879	5085
575	6890	5072
576	6900	5058
577	6910	5045
578	6925	5035
579	6939	5025
580	6953	5014
581	6963	5001
582	6974	4988
583	6985	4975
584	6997	4964
585	7010	4952
586	7021	4940
587	7036	4930
588	7049	4918
589	7061	4907
590	7074	4895
591	7085	4883
592	7096	4870
593	7108	4858
594	7121	4847
595	7135	4836
596	7153	4828
597	7168	4819
598	7182	4808
599	7195	4797
600	7208	4785
601	7221	4774
602	7236	4764
603	7252	4755
604	7265	4743
605	7279	4733
606	7297	4724
607	7311	4713
608	7324	4702
609	7337	4691
610	7351	4680
611	7366	4670
612	7379	4659
613	7394	4648
614	7410	4639
615	7427	4630
616	7440	4618
617	7453	4607
618	7469	4597
619	7481	4585
620	7494	4573
621	7506	4562
622	7518	4549
623	7530	4537
624	7542	4525
625	7555	4514
626	7569	4503
627	7583	4492
628	7596	4480
629	7609	4468
630	7622	4457
631	7636	4446
632	7649	4434
633	7664	4424
634	7681	4415
635	7697	4405
636	7712	4395
637	7726	4383
638	7741	4373
639	7754	4362
640	7769	4351
641	7781	4338
642	7796	4328
643	7810	4317
644	7823	4305
645	7837	4294
646	7853	4284
647	7874	4277
648	7891	4267
649	7906	4257
650	7920	4246
651	7933	4234
652	7948	4223
653	7961	4211
654	7973	4199
655	7988	4188
656	8003	4178
657	8018	4167
658	8035	4158
659	8048	4146
660	8063	4135
661	8078	4124
662	8093	4113
663	8107	4102
664	8119	4090
665	8131	4077
666	8142	4065
667	8153	4052
668	8164	4039
669	8175	4026
670	8186	4013
671	8198	4001
672	8211	3989
673	8224	3978
674	8238	3966
675	8248	3953
676	8260	3941
677	8271	3928
678	8283	3916
679	8296	3904
680	8310	3892
681	8323	3881
682	8335	3868
683	8346	3856
684	8357	3843
685	8369	3830
686	8379	3817
687	8391	3805
688	8402	3792
689	8414	3780
690	8426	3768
691	8439	3756
692	8454	3745
693	8468	3733
694	8478	3720
695	8490	3708
696	8503	3696
697	8517	3685
698	8528	3672
699	8541	3660
700	8553	3648
701	8565	3636
702	8590	3629
703	8601	3616
704	8612	3603
705	8623	3591
706	8637	3579
707	8651	3568
708	8664	3556
709	8675	3543
710	8686	3530
711	8699	3518
712	8718	3509
713	8730	3497
714	8742	3484
715	8753	3472
716	8765	3459
717	8776	3447
718	8787	3434
719	8799	3422
720	8811	3409
721	8822	3396
722	8833	3384
723	8849	3373
724	8864	3362
725	8879	3351
726	8892	3339
727	8908	3328
728	8919	3315
729	8931	3303
730	8942	3290
731	8955	3278
732	8966	3265
733	8977	3253
734	8988	3240
735	8999	3228
736	9010	3215
737	9022	3203
738	9032	3190
739	9044	3177
740	9058	3166
741	9071	3154
742	9084	3142
743	9095	3129
744	9107	3117
745	9121	3105
746	9133	3093
747	9146	3081
748	9160	3069
749	9173	3057
750	9186	3045
751	9199	3033
752	9210	3021
753	9223	3009
754	9235	2997
755	9248	2985
756	9260	2972
757	9276	2961
758	9289	2949
759	9301	2937
760	9314	2925
761	9324	2912
762	9335	2899
763	9347	2887
764	9357	2874
765	9369	2862
766	9381	2849
767	9392	2837
768	9402	2824
769	9414	2812
770	9426	2799
771	9436	2787
772	9448	2774
773	9460	2762
774	9472	2749
775	9483	2737
776	9495	2725
777	9508	2713
778	9521	2701
779	9535	2689
780	9546	2676
781	9559	2664
782	9573	2653
783	9586	2641
784	9600	2629
785	9612	2617
786	9623	2604
787	9634	2591
788	9647	2580
789	9659	2567
790	9669	2555
791	9682	2542
792	9695	2530
793	9707	2518
794	9718	2506
795	9728	2493
796	9742	2481
797	9754	2469
798	9764	2456
799	9775	2443
800	9786	2431
801	9796	2418
802	9807	2406
803	9818	2393
804	9828	2380
805	9842	2369
806	9854	2356
807	9865	2344
808	9876	2331
809	9888	2319
810	9900	2307
811	9912	2295
812	9924	2282
813	9935	2270
814	9947	2258
815	9958	2245
816	9974	2234
817	9989	2222
818	10002	2210
819	10014	2198
820	10025	2185
821	10037	2173
822	10050	2161
823	10062	2149
824	10074	2136
825	10085	2124
826	10097	2112
827	10113	2100
828	10124	2088
829	10136	2076
830	10148	2063
831	10159	2051
832	10170	2038
833	10182	2026
834	10194	2014
835	10208	2002
836	10219	1990
837	10230	1977
838	10242	1965
839	10252	1952
840	10263	1940
841	10275	1928
842	10286	1915
843	10297	1903
844	10310	1891
845	10322	1879
846	10334	1866
847	10347	1854
848	10360	1842
849	10371	1830
850	10382	1817
851	10393	1805
852	10403	1792
853	10416	1780
854	10429	1768
855	10442	1756
856	10454	1744
857	10465	1732
858	10477	1719
859	10488	1707
860	10499	1695
861	10509	1682
862	10521	1670
863	10532	1657
864	10545	1645
865	10557	1633
866	10569	1621
867	10581	1609
868	10594	1597
869	10606	1584
870	10619	1572
871	10632	1560
872	10644	1548
873	10656	1536
874	10670	1524
875	10682	1512
876	10693	1499
877	10705	1487
878	10717	1475
879	10728	1462
880	10739	1450
881	10750	1438
882	10762	1426
883	10776	1414
884	10788	1401
885	10800	1389
886	10812	1377
887	10827	1365
888	10840	1353
889	10852	1341
890	10864	1329
891	10876	1316
892	10887	1304
893	10900	1292
894	10912	1280
895	10924	1268
896	10936	1255
897	10946	1243
898	10957	1231
899	10969	1218
900	10979	1206
901	10990	1194
902	11001	1181
903	11013	1169
904	11024	1157
905	11037	1145
906	11052	1133
907	11062	1120
908	11073	1108
909	11083	1096
910	11094	1083
911	11105	1071
912	11116	1059
913	11128	1047
914	11139	1034
915	11151	1022
916	11160	1010
917	11172	997
