Artist,Similar Artists
Colored Lights,"Soft Covers, The Boys with the Perpetual Nervousness, The Lost Days, The Laughing Chimes, The Radio Field"
The Last Dinner Party,"Wolf Alice, WET LEG, The Beaches, Lucy Dacus, Florence + the Machine"
Chapter Five,"Chapter 6, Chapter 4, Chapter 3, Chapter 9, Chapter 7"
mxmtoon,"Chloe Moriondo, Cavetown, dodie, Lyn Lapid, Frances Forever"
Leaving Time,"Trauma Ray, All Under Heaven, GLARE, Soul Blind, Sleepwalk"
Emily Yacina,"Skirts, Free Cake For Every Creature, Long Beard, Alex G, Frankie Cosmos"
Nightwlks,"Henry Cron, Wilbur Swain, OGMH, Darling Coils, SACRÉ BLEU!"
Michigander,"Wilderado, Joe P, Krooked Kings, GRMLN, Your Neighbors"
"Earth, Wind & Fire","Kool & The Gang, Brothers Johnson, Ohio Players, Chic, Commodores"
The Hotelier,"Foxing, The World Is a Beautiful Place & I Am No Longer Afraid to Die, oso oso, Free Throw, Joyce Manor"
DJ Green Lantern,"Gostfase, M. Shinoda and Lupe Fiasco, Re-Up Gang, Hell Rell, Nucci Reyo, Grafh"
The Armed,"Genghis Tron, Pupil Slicer, KEN mode, The Callous Daoboys, Botch"
Mishegas,"Bay Ledges, Henry Green, The Lagoons, Plastic Picnic, St. South"
"One Last Thing Before I Go: November 5, 2012",
Flyte,"Junodream, Island, Bess Atwell, Billie Marten, Black Sea Dahu"
Humbear,"Okay Mann, Chappy, J.B. Boone, James Spaite, Harbor & Home"
A Swarm of the Sun,"Oh Hiroshima, Pijn, Latitudes, Spurv, Sleepmakeswaves"
Ellie Jackson,"Scam Likely, Caley Conway, Abby Jeanne, The Deer, Bridget Kearney"
Lightning Books,"Olddirtygeorge, Sean Martin West, Nikas, Norman Lake, Benji Tranter"
Neon Trees,"Walk the Moon, The Mowgli's, American Authors, Bad Suns, New Politics"
Sylvan Esso,"Lucius, Mr. Little Jeans, Miike Snow, Generationals, Phantogram"
Aby Coulibaly,"PIP MILLETT, Elmiene, Äyanna, Ambré, Olivia Dean"
Helado Negro,"Blue Lake, Amen Dunes, astrid sonne, Torres, Devendra Banhart"
Valebol,"Verity Den, LAKE J, sam evian, The Green Child, Alena Spanger"
Shania Twain,"Faith Hill, LeAnn Rimes, Jo Dee Messina, Carrie Underwood, Martina McBride"
Mazzy Star,"Hope Sandoval & The Warm Inventions, Mojave 3, The Sundays, Cocteau Twins, Fiona Apple"
Kate Nash,"Lily Allen, Regina Spektor, A Fine Frenzy, KT Tunstall, Tegan and Sara"
Never Ending Fall,"The Never Ending Fall, Talking Points, Noshows, More&More, Cousin Simple"
Nadia Reid,"Aldous Harding, Heather Woods Broderick, This Is the Kit, Tiny Ruins, Marlon Williams"
Siames,"Mystery Skulls, Paper Idol, Siamés, Saint Motel, Younger Hunger"
Max García Conover,"Kieran Campbell, Peter Doran, Mary Elizabeth Remington, Keenan O'Meara, Abby Webster"
Sleigh Bells,"Santigold, Purity Ring, Yeah Yeah Yeahs, Black Dresses, M.I.A."
Latto,"Megan Thee Stallion, Glorilla, JT, Cardi B, Monaleo"
Diet Cig,"Remember Sports, Girlpool, Cayetana, Swearin', Charly Bliss"
Griff Beynon,"Alegro Moya, Zamphire, Lyla Perez-Vega, Don Mazuck, Asa Kora"
VanWyck,"Opera Alaska, Sam & Julia, Vreemde Kostgangers, Clean Pete, JW Roy"
JKing,"Fejoint, dj noiz, Victor J Sefo, Lomez Brown, SPAWNBREEZIE"
Billy Strings,"Greensky Bluegrass, Kitchen Dwellers, Leftover Salmon, Daniel Donato, The Infamous Stringdusters"
Jack White,"The White Stripes, The Raconteurs, The Dead Weather, The Black Keys, Dan Auerbach"
Leyla McCalla,"Our Native Daughters, Hurray For The Riff Raff, Rhiannon Giddens, Kaia Kater, Mélissa Laveaux"
Waxahatchee,"Rosali, Jess Williamson, Cassandra Jenkins, Jessica Pratt, ratboy"
BigXthaPlug,"That Mexican OT, WacoTron, Big Yavo, Big Scarr, Key Glock"
Speedrun,"Japè Tucciné, Sofia D'Angelo, Visiun, 24thankyou, Melody English"
Powers,"Max Frost, Two Another, John Splithoff, Capital Cities, Jubël"
Rae Sremmurd,"Migos, Swae Lee, Rich The Kid, Fetty Wap, French Montana"
Noah and the Whale,"Slow Club, Edward Sharpe & The Magnetic Zeros, Mumford & Sons, Stornoway, Johnny Flynn"
My Morning Jacket,"Monsters of Folk, Wilco, Band of Horses, The War on Drugs, Fruit Bats"
Throwing Snow,"Koreless, Dark Sky, Weval, iTAL tEK, Djrum"
yeule,
Beth Gibbons,"Beth Gibbons & Rustin Man, Portishead, Laura Marling, Jessica Pratt, Nilüfer Yanya"
The Good Life,"Tim Kasher, Cursive, Bright Eyes, Conor Oberst, Desaparecidos"
Stan Getz,"Paul Desmond, Antônio Carlos Jobim, Stan Getz & Charlie Byrd, Coleman Hawkins, Ben Webster"
Antônio Neves,"Ricardo Richaid, Thiago França, Jennifer Souza, Quartabê, Jonathan Ferr"
Oisin Leech,"Itasca, Bonny Light Horseman, Bill MacKay, shana cleveland, James Elkington"
Broken Social Scene,"Kevin Drew, Stars, Wolf Parade, Yo La Tengo, Deerhunter"
Doechii,"SZA, FLO, Ravyn Lenae, Megan Thee Stallion, Glorilla"
Anycia,"Karrahbooo, Anycia & Karrahbooo, TiaCorine, Latto, Monaleo"
Ohtis,"Daughter of Swords, cicada rhythm, Maja Lena, Austyn Gillette, String Machine"
G Mills,"Sebastian Kamae, Blue Wednesday, Flovry, drkmnd, dryhope"
The Deslondes,"Silverada, Melissa Carper, James McMurtry, Drayton Farley, The Felice Brothers"
Golden Everything,"Leon Majcen, Andy Sydow, Another Glory, Will Stewart, Thomas Csorba"
