Artist,Tags
Michigander,"indie pop, indie rock, seen live, indie, alternative, alternative rock, USA, pop rock, Michigan, daytrotter, indie alternative"
Oracle Sisters,"indie pop, dream pop, french, indie, france, indie rock, acoustic, synth pop, soft rock, folk rock, 4, Dream, soft rock revival, Passion of Discovery, mixtaperoom, upcoming album 2025"
Billie Marten,"indie, folk, indie pop, british, female vocalists, singer-songwriter, england, indie folk, pop, UK, english, acoustic, piano, 3, a cappella, folk rock, female vocalist, folk pop, singer-songwriters, want to see live, under 2000 listeners, 10s, 2010s, United Kingdom, lucid, Dark Indie, bucolic, deezer, 2020s, sound of 2016, June 2017 shopping, isabella Sophie Tweddle, upcoming album 2023"
Blondshell,"seen live, indie rock, dream pop, indie, indie pop, Grunge, USA, alternative rock, folk, female vocalists, singer-songwriter, synth pop, britpop, american, female vocalist, alternative pop, los angeles, United States, spotify, bubblegrunge, 2020s, upcoming album 2023, seen live - primavera 2023, discweekly"
Charlie Hickey,"seen live, indie, folk, indie pop, indie rock, american, indie folk, 2020s, saddest factory records, dingocore"
Overcoats,"female vocalists, electronic, pop, indie pop, indietronica, USA, alternative pop, alternative rnb, seen live, alternative, soft rock, synthpop, folktronica, rnb, folk rock, indie folk, female vocal, 10s, electro-pop, All, Sophisti-Pop, minimal pop, 4-25"
The Hackles,"folk, seen live, country"
Transviolet,"pop, electropop, indie pop, female vocalists, indie, electronic, american, swedish, singer-songwriter, electro, female vocalist, electronica, seen live, alternative, noise rock, dance, pop rock, Electro Pop, synthpop, 4, Sweden, indie-pop, colours, All, alt-pop, upcoming album 2024"
Nico Paulo,"indie pop, folk, Canadian, dream pop, portuguese, indie folk, female vocalists, singer-songwriter, baroque pop, folk pop, newfoundland"
Cub Sport,"australian, pop, indie pop, indie, power pop, seen live, indie rock, electronic, rock, dance, synth pop, gay, australia, 4, electro rock, Brisbane, geohash:r7hgdpx7v9js, Australian Rock, Australian Pop, Australian Indie, australian indie rock, Brisbane indie,  pop-rock"
Babe Corner,"indie rock, indie pop, canada, Canadian, dream pop, synthpop"
LIES,"rock, Crust, alternative metal, d-beat, alternative rock, hardcore, Postal Service, dutch, Eels, seen live, punk, emo, indie rock, american, art rock, California, beatles, hardcore punk, lies, beck, Air, elliott smith, multiple artists, midwest emo, monome, alt. metal, gewoon vette shit, 4-25"
Tyler,"seen live, rock, japanese, austrian, indie, pop, j-urban, female vocalists, austrian music, electronic, alternative, alternative rock, experimental, sexy, england, r&b, r and b, japan, rnb, male vocalists, post-grunge, GarageBand, United Kingdom, Tyler, j-rnb, schwuelstig, austrian rock, J-R&B, A mix of everything, Need to Rate, sounds like vertical horizon,  The creator"
Dead Love Triangle,
Kate Davis,"indie rock, indie pop, jazz, pop, Soundtrack, rock, alternative, folk, female vocalists, singer-songwriter, USA, pop rock, folk rock, game, folk pop, female vocal, 4, yandex music"
Pillow,"post-rock, instrumental, ambient, post rock, electronic, electronica, experimental, belgian, indie rock, Italy, seen live, rock, instrumental rock, Belgium, chillout, french, indie, indietronica, postrock, post-urbandepressive, pop, alternative, power pop, australian, indiepop, glitch, post, italian, Belge, 2000s, music, nighty, This Looks Cool, My Favorites, finn, schlau machen, instrumental post rock, artists reviewed in groove magazine, Carte Postale Records, Boomkat, emotional post rock, progressive post-rock, Experimenta, nu stuff 6, Para bajar, Radio Miekesch, seen live - machine 2007, Lyrics are not necessary, giardini di miro-related, this songs gets better as it goes on, Any good, simply listening, post-rock and friends, 2nd Rec, Flowing Seasons, Luca Di Mira"
Perry Brown,
Macklemore,"Hip-Hop, rap, underground rap, seattle, hip hop, underground hip-hop, seen live, american, northwest, washington, USA, pop rap, northwest hip-hop, Macklemore, pop, alternative hip-hop, conscious hip-hop, Hipster-Hop, Macklemore and Ryan Lewis, indie, Dope, west coast, underground hip hop, underground, beyond, Atmosphere, came to Walla Walla, Conscious  Rap, Seattle Hip Hop, gay-rap, electronic, soul, C, funk, upbeat, genius, hiphop, gay, Indie Hip Hop, rnb, irish, fun, f, male vocalists, inspirational, to listen, live gesehen, independent, trap, E, alternative rap, fuck yeah, Don, West Coast Rap, bad, i, x, 1983, indie rap, topical, FAGGOT, d, alternative hip hop, white rap, the best, expressive, dyke, mid, seen live x2, Conscious Hip Hop, hardcore hip hop, homosexual, spotify, comedy rap, Political Hip Hop, fag, seen live x3, seen live X4, west coast hip-hop, west coast hip hop, bands i've seen live, slug, wa, bystry kot, CheckOutLater, remove, hometown pride, meme rap, Seattle Hip-hop, Anti-Homophobia, listentothis, white privilege, labar, 5 times, northwest rap, tnm, Do U Feel It, geeeenius, Mackelmore, check how sarah doing"
Matthew Logan Vasquez,"indie rock, americana, folk rock, rock, USA, seen live, punk rock, Delta Spirit, sxsw 2016"
Tessa Violet,"pop, indie pop, indie, russian, female vocalists, american, singer-songwriter, youtube, seen live, electropop, female, USA, pop rock, Queen, cute, acoustic, comedy, amazing, female vocalist, underrated, garbage, 2010s, Illinois, Russian Pop, nsbm, nationalist, Zelda, great vocals, my ladies, aesthetic, originals, rng, meekakitty, great discovery, 2020s, 3-5, RNG songs, russiansforward, dorce, new russian qween anthem, MusicLibrary, 20210213-J-Musiclist, alt z"
half•alive,"indie pop, indie, seen live, alternative, indie rock, american, pop, rock, United States, pop rock, California, alternative pop, want to see live, 2010s, long beach, funktronica, 2020s, infp"
boygenius,"seen live, indie, indie folk, indie rock, folk, female vocalists, rock, folk rock, Phoebe Bridgers, Lucy Dacus, alternative, singer-songwriter, american, 2010s, queer, Supergroup, 2020s, Boygenius, julien baker, alternative rock, indie pop, USA, pop rock, trio, female, sexy, jangle pop, band, super group, folk pop, alternative pop, female vocal, lesbian, overrated, meh, 10s, girl band, girl group, 20s, United States, dark pop, mid, spotify, female guitarists, all-female band, riot girls, darkpop, seen live x1, girlz, 2018, lgbtq, wlw, Better Oblivion Community Center, kentsimbtemp2, mid af, upcoming album 2023, radio freccia, fave gigs"
ADMT,UK
Superviolet,"indie rock, pop punk, USA, punk rock"
Withered Hand,"seen live, folk, singer-songwriter, indie, indie folk, Scottish, acoustic, indie pop, scotland, All, sparkly, british, london, Dreamy, england, male vocalist, edinburgh, United Kingdom, sage, sxsw 2011, geohash:gcpvj0e5m415, SXSW 2014, drama, antifolk, alt-folk, britain, 5432fun, spotify, radiant, want to hear, profanity, fence, new weird caledonia, to listen for jan, Withered Hand, cloud sounds"
Matt Maltese,"pop, singer-songwriter, indie pop, indie, british, UK, piano, rock, alternative, folk, indie rock, sadcore, chamber pop, england, melancholy, piano rock, male vocalists, singer-songwriters, nostalgia, 10s, paino, bedroom pop, over 1 million listeners, Inglaterra, wielka brytania, ten million plays, ❤️, paino music"
Angel Olsen,"folk, indie folk, seen live, Lo-Fi, female vocalists, dark folk, singer-songwriter, indie, indie rock, american, art pop, alternative, USA, psychedelic folk, Alt-country, americana, dream pop, rock, indie pop, folk rock, alternative country, country, contemporary folk, chamber pop, female vocalist, United States, Missouri, acoustic, 10s, 2010s, avant-folk, st louis, sexy, baroque pop, beautiful, freak folk, queer, 00s, chicago, alt-folk, All, Lo-Fi Indie, pop, Alternative Folk, Singer/Songwriter, new folk, North Carolina, Illinois, st. louis, bleak, jagjaguwar, singer and songwriter, doom folk, 2020s"
Worriers,"punk rock, seen live, pop punk, punk, indie rock, female vocalists, Pop-punk, rock, new york, Brooklyn, queer, alternative rock, 10s, orgcore, lgbtq, Philadelphia, power pop, USA, american, gay, Garage Rock, homophobia is so gay, alt rock, Garage Punk, us, Pennsylvania, United States, trans, Punk-Rock, pride, spotify, lgbt, jortscore, 6 stars, saw them live, no idea, nb, gledal, 2 times, butra pjeva, 3-5, orgcore revival, pride month, seen by HanYolers"
CHPTRS,"cinematic, american, Indie-Rock, indie-pop"
Fenne Lily,"folk, singer-songwriter, female vocalists, indie folk, seen live, british, indie, acoustic, indie pop, UK, england, folk rock, 10s, pop, rock, alternative, alternative rock, indie rock, bristol, female vocalist, folk pop, singer-songwriters, english, 2010s, United Kingdom, britain, 2020s, 3-5, sofar sounds, kentsimbtemp"
IshDARR,"rap, Hip-Hop, wisconsin, hip hop, USA, milwaukee"
The Weakerthans,"seen live, indie, Canadian, indie rock, rock, alternative, emo, folk, indie pop, punk, canada, Winnipeg, folk rock, Alt-country, folk punk, alternative rock, post-punk, pop, punk rock, singer-songwriter, indie folk, canadian indie, Great Lyricists, favorites, pop punk, Love, manitoba, acoustic, Mellow, amazing, literate, male vocalists, 90s, introspective, intelligent, 00s, lyrical, power pop, Awesome, poetry, fun, Pop-punk, witty, orgcore, southside 2008, hurricane 08"
Mom Rock,"rock, alternative, alternative rock"
NilexNile,"hip hop, milwaukee"
