Artist,Album Name,Album Art
Last Days of Heaven,Out of Body,https://lastfm.freetls.fastly.net/i/u/300x300/f96eb073d8bcab38edfd057cff3a2b66.jpg
Black Milk,Food From the Gods,https://lastfm.freetls.fastly.net/i/u/300x300/2b8ea7a3fe187a74e3a33dc308c74d3b.jpg
Horsegirl,Phonetics On and On,https://lastfm.freetls.fastly.net/i/u/300x300/36993f3772621248e2d42c02b953b62e.png
Denison Witmer,Anything At All,https://lastfm.freetls.fastly.net/i/u/300x300/a5bf45103d3008b4317be5ec51f3a840.jpg
John Glacier,Like A Ribbon,https://lastfm.freetls.fastly.net/i/u/300x300/dc0b194487a58dc9c54afa2b6c6995ef.png
The War And Treaty,Plus One,https://lastfm.freetls.fastly.net/i/u/300x300/f7fcbc53ab3fb1f22f6a1dde231106f0.jpg
The Altons,Heartache in Room 14,https://lastfm.freetls.fastly.net/i/u/300x300/d9f2409bcd2c9001d096c78d5b53a55f.jpg
Mallrat,Light hit my face like a straight right,https://lastfm.freetls.fastly.net/i/u/300x300/a07fc1b3cc37cb4215fd03cc601ad48b.jpg
Morgan Saint,Out Of The Blue,https://lastfm.freetls.fastly.net/i/u/300x300/5adc0e709fafeced469e509f35b589f3.jpg
RAVEN,GNOSIS,https://lastfm.freetls.fastly.net/i/u/300x300/1145b8145025ab9292fbe6721687ab80.jpg
The Lumineers,Automatic,https://lastfm.freetls.fastly.net/i/u/300x300/d5ba4eb0df801d78b9e7e3054188d023.png
Mereba,The Breeze Grew a Fire,https://lastfm.freetls.fastly.net/i/u/300x300/77f0f1bcb985458bce3b76abf49cfabb.jpg
Thala,Avalanche,https://lastfm.freetls.fastly.net/i/u/300x300/524db379b32e5a015cdf48b05fc22c39.jpg
CATHEDRALE,Poison,https://lastfm.freetls.fastly.net/i/u/300x300/e9128f51bf307f1263d6e3ef28b49ee9.jpg
Cryogeyser,Cryogeyser,https://lastfm.freetls.fastly.net/i/u/300x300/aead5cb871eb45a94ff64aca12134edf.jpg
Das Beat,Hopeless Romantik,https://lastfm.freetls.fastly.net/i/u/300x300/60a59702419c8663053ba06b837d072b.jpg
Oracle Sisters,Divinations,https://lastfm.freetls.fastly.net/i/u/300x300/9ce978dcbce8d466825e569c53346e3b.jpg
Saint Motel,Saint Motel & the Symphony in the Sky,https://lastfm.freetls.fastly.net/i/u/300x300/3ee958ef67e2dc2a90f42bb6c7222ebc.jpg
Winona Fighter,My Apologies To The Chef,https://lastfm.freetls.fastly.net/i/u/300x300/96ac9f98ede0c435ca4b57a7ac1aebae.jpg
The Delines,Mr. Luck & Ms. Doom,https://lastfm.freetls.fastly.net/i/u/300x300/1b3d7c714b8cea086968fda187b2fef2.jpg
Chatham Rabbits,Be Real With Me,https://lastfm.freetls.fastly.net/i/u/300x300/5bbe11c1ea1c3721e96150cb44267ca9.jpg
venturing,Ghostholding,https://lastfm.freetls.fastly.net/i/u/300x300/9373642d1f9fc218700f8ff915974988.jpg
Marshall Allen,New Dawn,https://lastfm.freetls.fastly.net/i/u/300x300/121bda2b5aaec6c9004b431ccfb504d7.jpg
Marinero,La La La,https://lastfm.freetls.fastly.net/i/u/300x300/026847acf055fdaf1fb827bdcdf3a637.jpg
Art d'Ecco,Serene Demon,https://lastfm.freetls.fastly.net/i/u/300x300/0c0a51893532fd296f65cc66d077f544.png
The Velveteers,A Million Knives,https://lastfm.freetls.fastly.net/i/u/300x300/ffb4bdfd56a187c0a2ab66b0c1c9d1bb.png
Gary Louris,Dark Country,https://lastfm.freetls.fastly.net/i/u/300x300/7d381d29aa2e2526033587233902b32d.jpg
Geoffrey O'Connor,I Love What We Do,https://lastfm.freetls.fastly.net/i/u/300x300/b8afa62a8f10eef67b21262ec4c94dc6.jpg
Vulture Feather,It Will Be Like Now,https://lastfm.freetls.fastly.net/i/u/300x300/9039f069d6bef7b84894b03fde3122a9.jpg
Kestrels,Better Wonder,https://lastfm.freetls.fastly.net/i/u/300x300/6405aa492e36a521cb65468496a28d17.jpg
The Wombats,Oh! The Ocean,https://lastfm.freetls.fastly.net/i/u/300x300/5625b015022904d9edc710f828ab00ab.png
Church Tongue,You'll Know It Was Me,https://lastfm.freetls.fastly.net/i/u/300x300/b37721af2e661987839f3deb488fffc8.png
Thomas Erak & The Ouroboros,(AU),https://lastfm.freetls.fastly.net/i/u/300x300/1e620c42f80776116fa00414104a039c.jpg
Customer Service,"to you, after 2000 years",https://lastfm.freetls.fastly.net/i/u/300x300/e6d8621b1bd335c97d72be2ae744a3df.jpg
Father John Misty,"I Love You, Honeybear Demos, etc.",https://lastfm.freetls.fastly.net/i/u/300x300/5253b58e332239bdb2e2a6ec099b82a7.jpg
