Album Name,Artist Name(s),Track Name,Track ID,Spotify URL
Armageddon In A Summer Dress,Sunny War,Debbie Downer,0zlVF45v1USPhSzmq558LF,open.spotify.com/track/0zlVF45v1USPhSzmq558LF
Bambi,Anxious,Some Girls,10lyK7n2Dm8wJUDWEFoVvj,open.spotify.com/track/10lyK7n2Dm8wJUDWEFoVvj
Basia's Palace,Basia Bulat,Curtain Call,1X3gY3hy4g28Du5coEYIv3,open.spotify.com/track/1X3gY3hy4g28Du5coEYIv3
Blindness,The Murder Capital,Swallow,0cmWMNzML1IoUTvaIoxjyV,open.spotify.com/track/0cmWMNzML1IoUTvaIoxjyV
Broken Hearts,Hannah McFarland,The Bed I Made,2HCCL2TgbJBrzmYTpRIax6,open.spotify.com/track/2HCCL2TgbJBrzmYTpRIax6
CHASE,Chase Matthew,DRIVING THROUGH MY HOMETOWN,06KFKLM9Zgf8K6HZwplTq4,open.spotify.com/track/06KFKLM9Zgf8K6HZwplTq4
Conditions III,Chalk,Afraid,3nUiED5yyYaLbSVg4LidHJ,open.spotify.com/track/3nUiED5yyYaLbSVg4LidHJ
Dalec Peilon,Ffa Coffi Pawb,Gwres,0acyanvOtCmu6wsKMsf44T,open.spotify.com/track/0acyanvOtCmu6wsKMsf44T
Earth-Sized Worlds,Mandrake Handshake,Time Goes Up,0RBUYvbGYH2h0lr5dg1Ny6,open.spotify.com/track/0RBUYvbGYH2h0lr5dg1Ny6
Exploding Trees & Airplane Screams,Patterson Hood,Airplane Screams,1QPkwi45CYMbARSkzASTpP,open.spotify.com/track/1QPkwi45CYMbARSkzASTpP
FESTIVAL SEASON,SAINt JHN,Pay For Pucci,09VfO0dIxVtnHngjEKlLBS,open.spotify.com/track/09VfO0dIxVtnHngjEKlLBS
Fool's Spring,Luke Sital-Singh,Little River,1K3NM16ja1PtCxoKJC32zm,open.spotify.com/track/1K3NM16ja1PtCxoKJC32zm
Goodbye Horses: The Many Lives of Q Lazzarus (Music From The Motion Picture),Q Lazzarus,Home,0WJIAiqlDORWpRZlCn3NkJ,open.spotify.com/track/0WJIAiqlDORWpRZlCn3NkJ
Gut,Baths,Homosexuals,0Bzm0VCBvBLFdrkuVWITvx,open.spotify.com/track/0Bzm0VCBvBLFdrkuVWITvx
Hear My Call,Cristina Vane,Lost You In The Mountains,0Czcu2jwIb1NkOBKAnjH4l,open.spotify.com/track/0Czcu2jwIb1NkOBKAnjH4l
Honeysuckle,"The Reverend Peyton's Big Damn Band,The McCrary Sisters",Looking For A Manger,1L0tNE0xLndDYk7KfhabEE,open.spotify.com/track/1L0tNE0xLndDYk7KfhabEE
Infinity,Smif-N-Wessun,Infinity,09guDuHq1qKoT7V8xGWKjh,open.spotify.com/track/09guDuHq1qKoT7V8xGWKjh
Jupiter,Nao,Wildflowers,0KB8X3OPK19f04DUjGmFaE,open.spotify.com/track/0KB8X3OPK19f04DUjGmFaE
