Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Record Label Frequency Encoded,Genres_encoded,Artist Centrality,mood_score,energy_profile,Primary Artist,album_id,predicted_score,discovery_chance,weighted_predicted_score,prediction_change,base_prediction,similarity_boost,match_type,matched_to,final_predicted_score
spotify:track:7D1Bpdcn0QHENBEZIRVlHZ,"Down, Down, Stream",With Heaven On Top,Zach Bryan,2026-01-09,119195,1.0,False,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.692,0.35,2,-15.273,0,0.953,0.986,1.87e-06,0.238,0.65,103.733,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,58.577751795557056,39.824816141053525,Zach Bryan,zach_bryan_with_heaven_on_top,82.39543077599951,57.99999999999999,83.9301491176456,1.5347183416460837,82.86386274968937,15.0,direct_liked,Zach Pietrini;McKenna Bray,97.86386274968937
spotify:track:6wsnvu20sNYtL1MmJgbpv7,Runny Eggs,With Heaven On Top,Zach Bryan,2026-01-09,232402,1.0,True,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.445,0.435,0,-10.452,1,0.051,0.484,0.16,0.388,0.32,151.101,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,40.925755804242534,65.65604226334929,Zach Bryan,zach_bryan_with_heaven_on_top,82.6768212690874,50.0,83.57950305926346,0.9026817901760609,82.00918851241426,15.0,direct_liked,Zach Pietrini;McKenna Bray,97.00918851241426
spotify:track:4dKr81KWnnn3YqBrbV5Gjl,Appetite,With Heaven On Top,Zach Bryan,2026-01-09,185174,1.0,True,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.427,0.676,4,-5.252,0,0.0568,0.31,0.0,0.367,0.386,98.201,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,42.0419241690329,42.20415106432043,Zach Bryan,zach_bryan_with_heaven_on_top,82.54722499837966,50.0,83.4658638681534,0.9186388697737442,81.74697248725978,15.0,direct_liked,Zach Pietrini;McKenna Bray,96.74697248725978
spotify:track:7JHIwFNykc608c5mw9bwYx,DeAnn's Denim,With Heaven On Top,Zach Bryan,2026-01-09,161384,1.0,False,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.498,0.328,1,-7.963,1,0.0369,0.725,0.0,0.115,0.255,145.017,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,29.14397862034408,63.82669690801513,Zach Bryan,zach_bryan_with_heaven_on_top,80.92930313768909,44.0,81.4170620995478,0.4877589618587166,79.72634846858405,15.0,direct_liked,Zach Pietrini;McKenna Bray,94.72634846858405
spotify:track:0BUvxX1tTOSJcsn6Y24Bsp,Say Why,With Heaven On Top,Zach Bryan,2026-01-09,143985,1.0,False,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.515,0.656,3,-5.562,1,0.031,0.155,0.0,0.126,0.614,110.232,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,45.142391849006174,47.986206710664355,Zach Bryan,zach_bryan_with_heaven_on_top,82.68812662526048,48.0,83.51478814815478,0.8266615228942982,82.48707162249157,15.0,direct_liked,Zach Pietrini;McKenna Bray,97.48707162249157
spotify:track:5MhJ2XV5O6cWm5bCmlZmwE,Drowning,With Heaven On Top,Zach Bryan,2026-01-09,185450,1.0,False,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.382,0.534,7,-7.543,1,0.0343,0.144,0.000182,0.089,0.249,140.141,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,23.02572239853015,61.72655704843373,Zach Bryan,zach_bryan_with_heaven_on_top,80.59369099274008,41.0,80.84232544445301,0.24863445171293108,79.0827752271685,15.0,direct_liked,Zach Pietrini;McKenna Bray,94.0827752271685
spotify:track:7qVntDLi3qf0mm18Kd54lx,Santa Fe,With Heaven On Top,Zach Bryan,2026-01-09,174197,1.0,False,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.541,0.719,7,-4.886,1,0.0403,0.0389,0.0,0.231,0.593,94.878,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,49.689744446300324,40.7641963464804,Zach Bryan,zach_bryan_with_heaven_on_top,82.74954906646458,57.99999999999999,83.48123316764902,0.7316841011844417,82.18059284322786,15.0,direct_liked,Zach Pietrini;McKenna Bray,97.18059284322786
spotify:track:61rfO3U360zRDDjFW6ajrx,Skin,With Heaven On Top,Zach Bryan,2026-01-09,175159,1.0,True,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.383,0.487,0,-10.651,1,0.0694,0.165,5.68e-05,0.366,0.3,148.447,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,36.62644062134625,64.27192655824638,Zach Bryan,zach_bryan_with_heaven_on_top,82.61247027006551,50.0,83.24563656175525,0.6331662916897329,81.62159521746447,15.0,direct_liked,Zach Pietrini;McKenna Bray,96.62159521746447
spotify:track:4TiwLUPOvPHrrVRt2qUGXt,Dry Deserts,With Heaven On Top,Zach Bryan,2026-01-09,151472,1.0,True,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.532,0.745,9,-5.685,1,0.0615,0.0642,4.76e-06,0.118,0.366,129.676,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,35.26223484215801,57.577668987011315,Zach Bryan,zach_bryan_with_heaven_on_top,82.3935260071076,50.0,83.0940073362193,0.7004813291117102,81.4169231780738,15.0,direct_liked,Zach Pietrini;McKenna Bray,96.4169231780738
spotify:track:06oRwfBISxd06rozMDDogR,Bad News,With Heaven On Top,Zach Bryan,2026-01-09,196382,1.0,True,"country, singer-songwriter, americana, alt-country, country rock, red dirt, folk, usa, indie folk, guitar",Warner Records,0.31,0.677,1,-5.91,0,0.0495,0.248,0.000204,0.0469,0.166,173.585,,df_nmf_test,31.622881355932204,100.0,18.82561513691298,14.877693335560378,79.13053960242343,Zach Bryan,zach_bryan_with_heaven_on_top,79.59925919898942,27.0,78.99924079050305,-0.6000184084863633,77.72888260080339,15.0,direct_liked,Zach Pietrini;McKenna Bray,92.72888260080339
