Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Record Label Frequency Encoded,Genres_encoded,Artist Centrality,mood_score,energy_profile,Primary Artist,album_id
spotify:track:7vP2voPkLnUur2lb8JiRJb,Why is the Lion?,We Are Together Again,Bonnie Prince Billy,2026-03-06,396573,31.542553191489358,False,"folk, singer-songwriter, alt-country",No Quarter,0.248,0.161,4.0,-13.809,0.0,0.0285,0.912,0.318,0.103,0.0825,89.328,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,11.181935861032237,33.33661935133507,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:7cxMYqAh7SWv6bxb1nVX7b,They Keep Trying To Find You,We Are Together Again,Bonnie Prince Billy,2026-03-06,277075,32.59574468085106,False,"folk, singer-songwriter, alt-country",No Quarter,0.442,0.148,6.0,-14.582,1.0,0.035,0.933,7.49e-05,0.11,0.331,87.649,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,29.764072156338734,32.118538232777865,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:3lmtnE7VebdJyY1EsVp2HE,Strange Trouble,We Are Together Again,Bonnie Prince Billy,2026-03-06,275725,29.436170212765955,False,"folk, singer-songwriter, alt-country",No Quarter,0.528,0.101,2.0,-15.762,1.0,0.0403,0.956,1.06e-06,0.109,0.252,106.752,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,30.012109570736598,40.95197355745474,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:3RWa8fGHnB2OvqO6UNygcU,Life is Scary Horses,We Are Together Again,Bonnie Prince Billy,2026-03-06,289855,32.59574468085106,False,"folk, singer-songwriter, alt-country",No Quarter,0.329,0.223,7.0,-14.179,1.0,0.0321,0.835,0.0399,0.119,0.181,91.744,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,19.26382161349591,34.378288721687426,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:7q5rRHXiy0mneilxbOuwFS,(Everybody's Got a) Friend Named Joe,We Are Together Again,Bonnie Prince Billy,2026-03-06,266475,28.382978723404253,False,"folk, singer-songwriter, alt-country",No Quarter,0.588,0.258,2.0,-12.779,1.0,0.031,0.906,0.000352,0.11,0.417,119.064,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,39.354852179722734,48.58758793633745,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:7ky5sBkucYf5ZvnEKc30za,Vietnam Sunshine,We Are Together Again,Bonnie Prince Billy,2026-03-06,243066,28.382978723404253,False,"folk, singer-songwriter, alt-country",No Quarter,0.445,0.402,5.0,-10.256,1.0,0.0393,0.753,0.000222,0.109,0.324,121.376,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,29.557374311007187,51.04796355065643,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:1p1P6luVuAKt1G1vofA74B,Hey Little,We Are Together Again,Bonnie Prince Billy,2026-03-06,226394,28.382978723404253,False,"folk, singer-songwriter, alt-country",No Quarter,0.53,0.256,0.0,-12.442,1.0,0.0292,0.854,0.041,0.0815,0.302,129.976,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,31.024929012861207,54.14529923062256,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:55GYhYHJK9KN3Uv5aNa13J,Davey Dead,We Are Together Again,Bonnie Prince Billy,2026-03-06,317985,27.329787234042552,False,"folk, singer-songwriter, alt-country",No Quarter,0.536,0.187,6.0,-16.314,1.0,0.0306,0.883,0.02,0.148,0.165,102.295,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,28.358526808084186,38.519270374226714,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:2rIg0YRpgRfWnZrHYXFbGm,The Children Are Sick,We Are Together Again,Bonnie Prince Billy,2026-03-06,276247,25.223404255319146,False,"folk, singer-songwriter, alt-country",No Quarter,0.474,0.0447,10.0,-16.649,1.0,0.0376,0.972,8.1e-06,0.112,0.269,142.756,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,28.606564222482042,58.27723792800178,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
spotify:track:7HX9t98EJa2eQCMBnJnQEx,Bride of the Lion,We Are Together Again,Bonnie Prince Billy,2026-03-06,259924,25.223404255319146,False,"folk, singer-songwriter, alt-country",No Quarter,0.486,0.169,0.0,-11.78,0.0,0.0416,0.895,1.01e-05,0.137,0.316,101.954,,df_nmf_test,10.473684210526317,63.82600910711565,9.652539205562164,32.07908802405211,40.582348942168416,Bonnie Prince Billy,bonnie_prince_billy_we_are_together_again
