Album Name,Artist Name(s),Album ID,Spotify URL
Love Is Not Enough,Converge,1ZiHuZUECf9saUhmv8vYxm,open.spotify.com/album/1ZiHuZUECf9saUhmv8vYxm
COLD 2 THE TOUCH,Angel Du$t,2FPvnCC5H66sUAnNSgQ7hK,open.spotify.com/album/2FPvnCC5H66sUAnNSgQ7hK
MAN BITES DOG,femtanyl,4GRPvwkbXfKXNGfrIJAGCE,open.spotify.com/album/4GRPvwkbXfKXNGfrIJAGCE
Necropalace,Worm,4zI7O4eE92cRjGLwXc3Y1c,open.spotify.com/album/4zI7O4eE92cRjGLwXc3Y1c
A Love For Strangers,Chet Faker,2TU0EWGL5Xj54K2254HToc,open.spotify.com/album/2TU0EWGL5Xj54K2254HToc
Wellnxss,Last Dinosaurs,2cpSyJLmccdURinGZ9lLMq,open.spotify.com/album/2cpSyJLmccdURinGZ9lLMq
A.R.S.O.N.,Story Of The Year,1Y4mInJWLEVgF3ly7Cop9d,open.spotify.com/album/1Y4mInJWLEVgF3ly7Cop9d
Hive Mind (feat. Denzel Curry),Knocked Loose;Denzel Curry,6eNCE2Inl49H7U8L0YaaRg,open.spotify.com/album/6eNCE2Inl49H7U8L0YaaRg
Julia,Ásgeir,5sxqoO4WywjvkwjmwxcQDl,open.spotify.com/album/5sxqoO4WywjvkwjmwxcQDl
Hungry Animal,Luke Temple,2bDwzSCwrHMlHWGyjInoqb,open.spotify.com/album/2bDwzSCwrHMlHWGyjInoqb
Clearly Cursed,PONY,6SJ2ZlM0zlgbJr6bFYAAjx,open.spotify.com/album/6SJ2ZlM0zlgbJr6bFYAAjx
Pale Bloom,Lucy Kruger & The Lost Boys,3UdhGs2R7AyEuzwrLBc0Mb,open.spotify.com/album/3UdhGs2R7AyEuzwrLBc0Mb
Dread Emperor,Slaughterday,55zG5vKvG0IfFPZEHGHT0K,open.spotify.com/album/55zG5vKvG0IfFPZEHGHT0K
Mariachi El Bronx (IV),Mariachi El Bronx,2T6FXaWvjAMsN2ogsr8VMq,open.spotify.com/album/2T6FXaWvjAMsN2ogsr8VMq
