Artist,Album Name,Album Art
Miya Folick,Erotica Veronica,covers/d5ebf90b56c675878403ef0a578a9f13.jpg
Mdou Moctar,Tears of Injustice,covers/e4757d99754d8c88519034450fb23abe.jpg
DARKSIDE,Nothing,covers/cbd28043fb3dfff31f7e0ebbb11cf616.jpg
Hope Tala,Hope Handwritten,covers/623a945f60704552c69e07be74de74bb.jpg
Panda Bear,Sinister Grift,covers/48a51f573be014d2308648b28add9d60.jpg
Everything Is Recorded,Never Felt Better,covers/17e15f0b5d939c2ca6ed22c1cfdd32e1.jpg
serpentwithfeet,WANDERER,covers/90244cf54fbe24c534f2673b9cef3379.jpg
Yves Jarvis,All Cylinders,covers/05745728ca57ef1ed2fb5683f6a48c32.jpg
Marie Davidson,City Of Clowns,covers/f1a97f5b5c673243ddc1f103a190564e.jpg
corook,committed to a bit,covers/22106378a81ec5fa4b6d966856a7fddf.jpg
Yo La Tengo,Old Joy,covers/defc8c1313b710fb036206fbe3242280.jpg
Andy Bell,pinball wanderer,covers/f48e72d5b784bb7c6a871b0643df5447.jpg
bdrmm,Infinity Peaking,covers/80e2b7a624d8a30608d257b04a538801.jpg
Boldy James,Token of Appreciation,covers/4beb8718ae620824e66447d4e907aea7.jpg
Paris Texas,They Left Me With A Gun,covers/943c4fb4247a25aac4f39e9b1956a500.jpg
Michi,Walking Away,covers/2d15f2458c2a038bc982cf7a143c05c8.jpg
Cloakroom,Last Leg of the Human Table,covers/320b3e730bcee44ed04aec725abcbf75.jpg
Joshua Burnside,Teeth of Time,covers/f9426320910a8bd0fb0882e578c874bc.jpg
Edith Frost,In Space,covers/6604553499b7fa5b952013d7f264c8fa.jpg
The Chills,Spring Board: The Early Unrecorded Songs,covers/26f207bd1b4368c921582b5b41a9de87.jpg
The Lathums,Matter Does Not Define,covers/ffb662cf2f2923805168f7b877af220e.jpg
Echolalia,Echolalia,covers/dff21986a7f90a8b2d5ffaaabd92c305.jpg
Kasey Tyndall,Kasey Tyndall,covers/7a8cd63539a746ce42159c64b4ee9724.jpg
Venamoris,To Cross or To Burn,covers/19e5e298a2be874c5c9fd86f3bdaa296.jpg
Kip Moore,Solitary Tracks,covers/6421d11156e465ddc20c8d149542d0ed.jpg
The Devil Makes Three,Spirits,covers/964fdfc1eda1ba948fc795008f9c3aa2.jpg
Redferrin,"Some City, Somewhere",covers/37cd5a48fb6b9be6ba75a6aed4c2dbcc.jpg
Fridayy,"Some Days I’m Good, Some Days I’m Not",covers/6988619140102050027682625d49a52c.jpg
REASON,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/43/ac/bd/43acbd4c-88c0-5bfb-7fd6-deb40e22a6a0/199066240557.jpg/1200x1200bb.jpg,
David Grubbs,Whistle from Above,covers/c34fc44e56afc08f7c4191c975483cf1.jpg
Rebecca Black,SALVATION,covers/26a8b511e8da0e0a7e6e32203cbfe8b8.jpg
Architects,"The Sky, The Earth & All Between",covers/1084a86397de3346c56b27b7fa15acfd.jpg
Cheekface,Middle Spoon,covers/467216c2625f72c10e0ffdc051046c4a.jpg
BANKS,Off With Her Head,covers/7bed1c7c395fc9db5d3ea4cc8647c0ff.jpg
IDK,BRAVADO INTiMO...,covers/f883c8b0555fa8d14366f6fdcb63a211.jpg
Antony Szmierek,Service Station At The End Of The Universe,covers/0e302d2e68ca74a7a272d1d060344522.jpg
Matilda Mann,Roxwell,covers/1376e2daa5049de08d4f19a126307b9f.jpg
Tori Amos,The Music of Tori and the Muses,covers/d07e1153d6d9ea022d5d36df02eabf20.jpg
Deep Sea Diver,Billboard Heart,covers/ceace5beeb58b8d32ca187851c045a3f.jpg
The Men,Buyer Beware,covers/f4a8f1688e8e209c91e154ed52975b70.jpg
Year of the Cobra,Year Of The Cobra,covers/c89432cd759d4a3f81cba573ad0b7e0c.jpg
"REASON,D'Anna Stewart",I Love You Again,covers/9822b4c28ce7b8fbf0ef2eca9a605c32.jpg
"Boldy James,Chuck Strangers",Token of Appreciation,covers/f9a7ab3dc487951054c9e79ecb833c6f.jpg
"Fridayy,Teni","Some Days I’m Good, Some Days I’m Not",covers/31e80396989857a2b9c3ea695fd52833.jpg
Polly Paulusma,Wildfires,covers/1b54608993a939f07da89f4b1283cb4b.jpg
Billy Hart Quartet,Just,covers/9f7641bb4098493a1847bb36934bad51.jpg
"Venamoris,Dave Lombardo",To Cross or To Burn,covers/19054b49f449f652de8d769cc5da36f2.jpg
"Everything Is Recorded,Sampha,Florence + The Machine",Never Felt Better,covers/287245a223190c4b2bdca71a76ad4026.jpg
"Sahara Grim,Nailah Hunter",Blindfold,covers/397182f8432748e655485139fdfc448d.jpg
REASON,I Love You Again,covers/8906136aab190f5e3e78271084b79088.jpg
Everything Is Recorded,Richard Russell Is Temporary,covers/9fca6c8223781aac8f45bbb5f6cd4b55.jpg
Hana Vu,Movies,covers/e080eab7f943a7dbb5a3bc58328e395e.jpg
bdrmm,Microtonic,covers/a3eac145f941ed3401211b6b4f0c2643.jpg
Doves,Constellations For The Lonely,covers/253e72f8698427a4315dcd4f0152c04d.jpg
The Knocks,The Hero,covers/4d4d174c60ba634e5d9ffd26de1fb834.jpg
Michi,Dirty Talk,covers/cc4b75945de51da171b17891fd0a0012.jpg
serpentwithfeet,GRIP SEQUEL,covers/fcdc337f1f51c1c453815cc3f112d808.jpg
Charles Wesley Godwin,Lonely Mountain Town,covers/6acef2404d50ac50b7ff10262d0f520c.jpg
Hachiku,The Joys Of Being Pure At Heart,covers/e9ca0f8c8d074797d01890f8665f8831.jpg
Ichiko Aoba,Luminescent Creatures,covers/b6afa12084ed3b51ade6d55deed91ddd.jpg
The Residents,Doctor Dark,covers/450d29189818c0d827b25315d1599c2d.jpg
Max Cooper,On Being,covers/b950fad03c60bf41b61c5500db2f75f0.jpg
"Bedrooms,Fried Monk",Monkrooms,covers/e4ff0989e8c88e55da904fd4791f0119.jpg
"The Knocks,Dragonette",The Hero,covers/9c60ab34eb9b813bf3860222f007e829.jpg
"Sahara Grim,Nailah Hunter",Fable,covers/9760f75f760b901d1d6f61277182b819.jpg
"bdrmm,Working Men's Club",Microtonic,covers/d46b15504cdbb80cb66a62bab58bad30.jpg
"Max Cooper,Felix Gerbelot",On Being,covers/da2862a485c1600fd3bf8af0fb71abbf.jpg
Cassetta,In Darkness Our Roots Will Rot,covers/3369e1920f83047b794f253768622f27.jpg
Slow Joy,Gruesome,covers/0eb8f9106ea2652cb98821baf48e62d2.jpg
Shygirl,Club Shy Room 2,covers/40b49887f0493804647d72fe4269d23d.jpg
The Casper Fight Scene,S/T,covers/74ab6b59cb65f240cc873a648e9dcfbc.jpg
Runaway Brother,Want You Need,covers/13a3184c8b058eb30a8666a0b79c4d1b.jpg
Big Black Delta,ADONAI,covers/8e4e591ed9240c662832c70028b855c7.jpg
LISA,Alter Ego,covers/e69b6c42dcaa8a9d3648a518a91e9793.jpg
JD Clayton,Blue Sky Sundays,covers/cf85e87c5e3549501a4d50d8f33adf20.jpg
Kristin Daelyn,Beyond the Break,covers/3e3dfbe80c39b476d3963a4db75e6aa2.jpg
"LISA,Doja Cat,RAYE",Alter Ego,covers/f888299c7383bd30e038b4b44520ba39.jpg
"you, infinite","you, infinite",covers/4224ea9852d1453fa78f6397d2384a8c.jpg
"Shygirl,Club Shy",Club Shy Room 2,covers/3bb15f5a12024459dee9501703d7231d.jpg
Annie DiRusso,Super Pedestrian,covers/5e5ab977afb6a301c8806bb628527416.jpg
CA7RIEL & Paco Amoroso,PAPOTA,covers/09831e10557d1d8428c77762a3d4a858.jpg
Lady Gaga,MAYHEM,covers/b58da6353062093b650d449676d0259b.jpg
Jason Isbell,Foxes in the Snow,covers/ed6d4b44e3e51344420f2149612293ec.jpg
Divorce,Drive to Goldenhammer,covers/c01d65c092474952892f80aabc608179.jpg
JENNIE,Ruby,covers/ae4aed5a475c6afbba525510fc476938.jpg
Vundabar,Surgery and Pleasure,covers/ca9bfe6f101f7c6d0263c8c0db85de58.jpg
SASAMI,Blood On the Silver Screen,covers/5d44a32a91f485e1d756f3ee47ceb54f.jpg
Bob Mould,Here We Go Crazy,covers/23aaea3722819f5322c0ffdab270f641.jpg
