Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,liked,playlist_origin,source_type,training_year,Record Label Frequency Encoded,Genres_encoded,Artist Centrality,mood_score,energy_profile,Primary Artist,album_id,predicted_score,discovery_chance,weighted_predicted_score,prediction_change,base_prediction,similarity_boost,match_type,matched_to,final_predicted_score,gut_score_date,gut_score_source
spotify:track:02v9pvGNvWAdQaiMOMXrg9,All My Friends,R.I.P. Apathy,Blushh,2020-04-17,243304.0,3.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.255,0.629,8.0,-6.831,1.0,0.0404,0.00543,0.0,0.0927,0.426,173.407,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:5ReMcWH6RdwpnT88qDsxii,What Am I Doing With My Life,R.I.P. Apathy,Blushh,2020-04-17,216450.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.18,0.8,1.0,-7.779,1.0,0.0374,4.36e-05,0.0366,0.101,0.533,170.804,1.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:3qhKQ6uB05tSb4gKd0T7m5,Too Dark,R.I.P. Apathy,Blushh,2020-04-17,166582.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.529,0.641,11.0,-8.757,0.0,0.0324,0.000159,0.0132,0.0909,0.668,125.985,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:4NpHBJng46Bme7T9pyghNu,July,R.I.P. Apathy,Blushh,2020-04-17,158955.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.445,0.718,1.0,-5.421,1.0,0.0388,0.000494,0.0179,0.0683,0.428,96.011,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:4aetd2PsHfVyw1qQJRCNtD,Let It Fly,R.I.P. Apathy,Blushh,2020-04-17,112692.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.492,0.749,7.0,-7.59,1.0,0.0381,0.000202,2e-05,0.691,0.519,119.058,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:2sdBgc7lAGe19sNfe6Fx33,Deal With It,R.I.P. Apathy,Blushh,2020-04-17,250044.0,1.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.494,0.724,4.0,-7.701,1.0,0.0323,1.64e-05,0.0351,0.117,0.227,103.996,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:4fg3ozVqMAhD2l3gtojqha,Melting,R.I.P. Apathy,Blushh,2020-04-17,105952.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.605,0.274,11.0,-13.456,1.0,0.0298,0.728,0.0198,0.155,0.301,77.221,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:7vi335EgMxbDLrLf7YaiDh,You Make Me Hate It All,R.I.P. Apathy,Blushh,2020-04-17,199575.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.438,0.495,9.0,-7.05,0.0,0.0306,0.000219,0.0106,0.0571,0.342,200.161,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:7hxuWwjoZrb2ViIuQhxFQ1,Make It Better,R.I.P. Apathy,Blushh,2020-04-17,146259.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.581,0.56,6.0,-9.18,1.0,0.0307,0.000155,0.0267,0.117,0.433,124.009,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
spotify:track:0s6QjErsLhr4ZsDn8iFZL0,More,R.I.P. Apathy,Blushh,2020-04-17,146076.0,0.0,False,mmr4r23xnc6oh1c77lysfbqg4,2025-02-13T18:33:14Z,,Blushh Records,0.254,0.934,2.0,-7.313,1.0,0.0823,6.85e-05,0.0108,0.274,0.167,123.872,4.0,100.0,retooled_training,top_100_ranked,2020.0,,,,,,,,,,,,,,,,,,
