Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Primary Artist,Record Label Frequency Encoded,Genres_encoded,Featured_Artist(s),Artist Centrality,mood_score,energy_profile,album_id
spotify:track:5rRBzP3ywyBThLLoQcJuOv,Be Kind,Tether,Annahstasia,2025-06-13,307373,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.486,0.152,2.0,-11.748,1.0,0.0559,0.815,4.94e-05,0.348,0.242,121.175,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,37.74260898613664,54.769400818558736,annahstasia_tether
spotify:track:0sUJVa3AFcEqdy11QtiZCY,Villain,Tether,Annahstasia,2025-06-13,270520,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.561,0.356,1.0,-11.346,1.0,0.0354,0.86,0.397,0.0975,0.294,90.552,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,32.6371722064473,41.577985031561575,annahstasia_tether
spotify:track:1rcYA73ZweMy1OxuaDYCg2,Unrest,Tether,Annahstasia,2025-06-13,216040,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.412,0.195,7.0,-13.634,1.0,0.0349,0.908,0.00885,0.106,0.206,114.604,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,23.19108067479539,51.07174374317498,annahstasia_tether
spotify:track:4yaLykONMz1l9e0bErOJuf,Take Care of Me,Tether,Annahstasia,2025-06-13,230560,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.326,0.25,7.0,-11.981,0.0,0.0324,0.884,0.00753,0.108,0.156,92.601,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,17.651578419909804,42.15280502854302,annahstasia_tether
spotify:track:5i5Rt40zinWyID6QGp8gso,Slow,Tether,"Annahstasia,Obongjayar",2025-06-13,264013,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.306,0.292,9.0,-10.923,0.0,0.03,0.899,0.000304,0.0812,0.195,89.575,,df_nmf,Annahstasia,1.0,71.08833644232357,['Obongjayar'],1.0,17.329129781192588,41.30639576693272,annahstasia_tether
spotify:track:32SubIZx2ZcDZlpmKukSPq,Waiting,Tether,Annahstasia,2025-06-13,214400,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.254,0.359,7.0,-7.333,1.0,0.028,0.668,0.00219,0.221,0.139,81.455,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,18.643728077501255,39.345064232889726,annahstasia_tether
spotify:track:4tlRntHaaTE60kWkcn12re,Overflow,Tether,Annahstasia,2025-06-13,236693,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.445,0.487,10.0,-6.622,1.0,0.0277,0.502,0.0,0.12,0.331,88.788,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,30.30148655420077,42.93637081953532,annahstasia_tether
spotify:track:5euedsimUqfVXlr119uJkG,All Is. Will Be. As It Was.,Tether,"Annahstasia,aja monet",2025-06-13,166186,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.547,0.198,5.0,-17.403,1.0,0.144,0.816,0.0102,0.0993,0.215,132.807,,df_nmf,Annahstasia,1.0,71.08833644232357,['aja monet'],1.0,28.867003507599797,57.4162974866163,annahstasia_tether
spotify:track:0DBYse5Fm3xehgr0TkscJk,Silk And Velvet,Tether,Annahstasia,2025-06-13,152906,1.0,True,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.469,0.085,9.0,-10.946,1.0,0.0403,0.746,0.0,0.115,0.21,113.637,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,26.084850509437118,51.779721583493874,annahstasia_tether
spotify:track:4Q33mh1QlWoXs8Vlc9LBac,Satisfy Me,Tether,Annahstasia,2025-06-13,186026,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.562,0.143,9.0,-11.634,1.0,0.0575,0.85,7.52e-06,0.113,0.202,139.905,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,29.51603474194087,63.04672088212577,annahstasia_tether
spotify:track:6gLOkCljeiC4m4bJj6BT8l,Believer,Tether,Annahstasia,2025-06-13,362880,1.0,False,"folk, jazz, american, nigeria, nigerian, vocal, soul, singer-songwriter, usa, african",drink sum wtr,0.494,0.505,10.0,-7.469,1.0,0.0351,0.431,0.000199,0.155,0.148,125.503,,df_nmf,Annahstasia,1.0,71.08833644232357,[''],1.0,26.208869216636046,58.707005690847595,annahstasia_tether
spotify:track:5Ab5DhrkssGHhI5TFeKLBi,Curæ,2t2,Cosey Fanni Tutti,2025-06-13,306529,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.531,0.61,4.0,-18.009,0.0,0.0466,0.0438,0.898,0.105,0.131,119.942,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,24.968682144646735,51.67732627822119,cosey_fanni_tutti_2t2
spotify:track:1UEnzmSwPHzboGq9LMvfm1,To Be,2t2,Cosey Fanni Tutti,2025-06-13,283153,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.549,0.565,1.0,-16.893,1.0,0.0455,0.333,0.88,0.108,0.46,129.974,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,39.43753131785537,56.556704280121096,cosey_fanni_tutti_2t2
spotify:track:0AYKFyuNjbUsNL7008RHxj,Stound,2t2,Cosey Fanni Tutti,2025-06-13,247128,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.456,0.304,1.0,-20.691,1.0,0.0326,0.0814,0.857,0.28,0.0338,120.015,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,25.084432938032403,50.39628630023882,cosey_fanni_tutti_2t2
spotify:track:2Nd5SF6YZoYjV29mhVjU99,Never The Same,2t2,Cosey Fanni Tutti,2025-06-13,281957,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.217,0.473,8.0,-16.345,1.0,0.0403,0.0215,0.664,0.109,0.132,174.86,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,12.194755303156839,76.48291857915251,cosey_fanni_tutti_2t2
spotify:track:044nm9kEpAfBmbaqab66Fw,Stolen Time,2t2,Cosey Fanni Tutti,2025-06-13,257400,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.381,0.295,5.0,-17.919,1.0,0.0285,0.504,0.933,0.0977,0.0703,99.998,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,15.956656088191085,42.8137601321058,cosey_fanni_tutti_2t2
spotify:track:3ANrPGabAV9YrEleQGj2l5,Respair,2t2,Cosey Fanni Tutti,2025-06-13,213702,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.26,0.283,0.0,-17.692,1.0,0.0853,0.391,0.2,0.107,0.1,160.548,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,12.56681142475363,69.5178404964621,cosey_fanni_tutti_2t2
spotify:track:1PoXgKPL5tyCPODKYYVOYI,Threnody,2t2,Cosey Fanni Tutti,2025-06-13,257407,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.147,0.221,0.0,-25.923,1.0,0.0446,0.627,0.831,0.0911,0.0548,79.537,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,5.369592450309004,30.271873363104497,cosey_fanni_tutti_2t2
spotify:track:2zoKTdBSEi97L1YTy6ZOpv,Sonance,2t2,Cosey Fanni Tutti,2025-06-13,315000,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.171,0.0637,9.0,-28.947,1.0,0.041,0.769,0.774,0.11,0.0317,116.569,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,6.188115917821951,45.148065466942484,cosey_fanni_tutti_2t2
spotify:track:1rtrCKvn9l76YurEfrrtyj,Limbic,2t2,Cosey Fanni Tutti,2025-06-13,253280,1.0,False,"female vocalist, industrial, experimental, electronic, avant-garde, ambient, dark ambient, electronica, post-industrial, minimal synth",Conspiracy International,0.0965,0.42,5.0,-24.036,1.0,0.246,0.521,0.868,0.113,0.0375,75.603,,df_nmf,Cosey Fanni Tutti,1.0,43.69093031523172,[''],1.0,3.472106230165358,29.45974235819491,cosey_fanni_tutti_2t2
spotify:track:1Mb0lDTrBzgHFBGyv8bdJ9,Driva'man,We Insist 2025!,"Terri Lyne Carrington,Christie Dashiell,Weedie Braimah,Milena Casado,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,498120,1.0,False,"female vocalist, jazz, fusion, female drummer, drums, vocal jazz, m-base, contemporary jazz, percussion",Candid,0.848,0.633,1.0,-12.689,0.0,0.0815,0.69,0.188,0.242,0.675,118.006,,df_nmf,Terri Lyne Carrington,1.0,68.90832786184049,"['Christie Dashiell', 'Weedie Braimah', 'Milena Casado', 'Morgan Guerin', 'Simon Moullier', 'Matthew Stevens']",1.0,66.22557207282446,53.17458295231585,terri_lyne_carrington_we_insist_2025!
spotify:track:4DLCIxNWIyD2Q4puDPZ48w,Freedom Day (Part 1),We Insist 2025!,"Terri Lyne Carrington,Christie Dashiell,Milena Casado,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,256105,1.0,False,"female vocalist, jazz, fusion, female drummer, drums, vocal jazz, m-base, contemporary jazz, percussion",Candid,0.53,0.278,1.0,-14.598,1.0,0.051,0.765,0.292,0.0627,0.23,80.455,,df_nmf,Terri Lyne Carrington,1.0,68.90832786184049,"['Christie Dashiell', 'Milena Casado', 'Morgan Guerin', 'Simon Moullier', 'Matthew Stevens']",1.0,27.27129614164022,35.677290765911735,terri_lyne_carrington_we_insist_2025!
spotify:track:7InanVQxyhtruqv0Ao8dop,All Africa,We Insist 2025!,"Terri Lyne Carrington,Christie Dashiell,Weedie Braimah,Milena Casado,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,441440,1.0,False,"female vocalist, jazz, fusion, female drummer, drums, vocal jazz, m-base, contemporary jazz, percussion",Candid,0.561,0.478,10.0,-13.124,0.0,0.0908,0.738,0.113,0.1,0.436,107.157,,df_nmf,Terri Lyne Carrington,1.0,68.90832786184049,"['Christie Dashiell', 'Weedie Braimah', 'Milena Casado', 'Morgan Guerin', 'Simon Moullier', 'Matthew Stevens']",1.0,38.61073993652916,48.14754476770511,terri_lyne_carrington_we_insist_2025!
spotify:track:0Ke6iP0yBzmiypKWRtex7f,Boom Chick,We Insist 2025!,"Terri Lyne Carrington,Christie Dashiell,Christiana Hunte",2025-06-13,96160,1.0,False,"female vocalist, jazz, fusion, female drummer, drums, vocal jazz, m-base, contemporary jazz, percussion",Candid,0.761,0.473,6.0,-16.495,1.0,0.896,0.334,0.0,0.135,0.392,175.882,,df_nmf,Terri Lyne Carrington,1.0,68.90832786184049,"['Christie Dashiell', 'Christiana Hunte']",1.0,46.50659762819443,76.86613191047348,terri_lyne_carrington_we_insist_2025!
