Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
54KEm0VI9i3ic7VHHKHKRx,"¿Cómo Así?","ORQUÍDEAS","Kali Uchis",2024-01-12,169654,57,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.722,0.821,6,-7.662,0,0.0892,0.0417,0.346,0.154,0.379,135.985,4
5mVkTPlTPxlQOn7kEvuM3j,"Me Pongo Loca","ORQUÍDEAS","Kali Uchis",2024-01-12,177815,54,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.78,0.665,7,-8.68,0,0.0426,0.0371,0.152,0.106,0.407,114.999,4
6XaJfhwof7qIgbbXO5tIQI,"Igual Que Un Ángel (with Peso Pluma)","ORQUÍDEAS","Kali Uchis,Peso Pluma",2024-01-12,260370,76,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,electro corridos,banda","Geffen Records",0.695,0.592,5,-5.34,0,0.032,0.00449,0.000663,0.185,0.482,108.001,4
52x8HIGuk1gGTlvO8CuLNS,"Pensamientos Intrusivos","ORQUÍDEAS","Kali Uchis",2024-01-12,192027,60,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.709,0.559,9,-8.333,0,0.0394,0.575,0.0129,0.11,0.511,119.994,4
3RleMgz4iO0BNezGdSxDnY,"Diosa","ORQUÍDEAS","Kali Uchis",2024-01-12,156037,59,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.797,0.853,5,-5.518,0,0.0668,0.0675,0.000101,0.078,0.698,107.994,4
1NEBuFp0BJMikgXJI9VVab,"Te Mata","ORQUÍDEAS","Kali Uchis",2024-01-12,232066,55,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.424,0.643,4,-4.812,0,0.0357,0.758,0,0.109,0.498,110.825,4
43oIvC7HVMKkAvuPr4Kt4A,"Perdiste","ORQUÍDEAS","Kali Uchis",2024-01-12,144165,51,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.741,0.594,0,-6.03,1,0.0379,0.0856,0.0000273,0.0773,0.556,103.925,4
2R6tflIwv19qoYxg5hYLVh,"Young Rich & In Love","ORQUÍDEAS","Kali Uchis",2024-01-12,198300,53,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.617,0.436,6,-8.803,0,0.0297,0.336,0.0000177,0.161,0.213,103.038,4
59ak5RmKdyspU26ifSg0rW,"Tu Corazón Es Mío...","ORQUÍDEAS","Kali Uchis",2024-01-12,165845,53,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.696,0.57,6,-6.945,0,0.0289,0.321,0.0000144,0.15,0.385,106.032,4
20LZsv2s3dXvoBuPUEOlAv,"Muñekita (with El Alfa & JT)","ORQUÍDEAS","Kali Uchis,El Alfa,JT",2024-01-12,219642,57,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"dembow,urbano latino,latin,reggaeton","Geffen Records",0.787,0.822,0,-3.419,1,0.175,0.0655,0.00106,0.289,0.532,111.964,4
5ycn8M0WNGedabDuaH9mQT,"Labios Mordidos (with KAROL G)","ORQUÍDEAS","Kali Uchis,KAROL G",2024-01-12,195373,62,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"reggaeton,latin,urbano latino","Geffen Records",0.709,0.891,0,-4.495,1,0.0491,0.305,0.000117,0.303,0.761,90.036,4
16pNGHrUDtUq5Qg4LnueIi,"No Hay Ley Parte 2 (with Rauw Alejandro)","ORQUÍDEAS","Kali Uchis,Rauw Alejandro",2024-01-12,188268,60,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"reggaeton,urbano latino,trap latino,latin","Geffen Records",0.788,0.666,1,-6.244,0,0.0585,0.0254,0,0.242,0.233,119.951,4
0xuR1uorCHBfBi0HDZPSYi,"Heladito","ORQUÍDEAS","Kali Uchis",2024-01-12,144135,52,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.566,0.68,5,-5.045,0,0.0293,0.0717,0,0.406,0.49,86,4
21RAJfkAbaq85RWJQWoxkx,"Dame Beso // Muévete","ORQUÍDEAS","Kali Uchis",2024-01-12,215666,60,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:04:15Z,"","Geffen Records",0.442,0.903,5,-4.406,0,0.115,0.0627,0.00000237,0.162,0.932,149.885,4
4WV21jJoYjf7d5abk0FbcM,"Damn My Love","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,219083,27,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.672,0.533,0,-5.822,1,0.0346,0.119,0.00000187,0.0786,0.872,128.263,4
64z4BjW0sFLhFDy3TT7PMq,"California Sober","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,246712,22,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.637,0.396,2,-7.462,1,0.0447,0.763,0.0000201,0.147,0.643,100.802,4
5DqrOXdnCKOYgpBBGQEWjW,"Walking Guilty","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,232610,19,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.668,0.571,10,-6.364,1,0.0266,0.336,0.00192,0.123,0.889,95.041,4
42wIhv5lg4QiMYNG2nZpw4,"Where It's From","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,185447,23,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.671,0.336,10,-10.822,1,0.0337,0.718,0.00000443,0.106,0.337,131.02,4
5of3QMhmqdnTNH7BF2XbSQ,"Viking Sex","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,246025,16,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.517,0.785,10,-4.447,1,0.0335,0.516,0.0000113,0.103,0.932,116.918,4
2HUfPzAEv6dU3VayXmdybT,"Good To You","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,303206,17,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.751,0.3,11,-7.281,1,0.0364,0.582,0.0158,0.124,0.817,132.685,4
6xNaNye14VMv1GZQrXEU7w,"Judas","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,248623,17,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.642,0.439,7,-8.431,0,0.0317,0.308,0.000122,0.085,0.679,76.026,4
6gG2hbaK3iYg7DWOtheGLF,"While I'm Down","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,215544,24,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.407,0.797,9,-6.393,1,0.0835,0.356,0.00176,0.112,0.716,202.162,4
4g34SgtBXO9lRlWm5adYDP,"Sandra","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,208696,19,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.516,0.362,2,-13.357,1,0.046,0.57,0.0262,0.194,0.254,87.381,4
4spYJBTplZrRGDMhoBl2d9,"Grand Junction","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,225564,13,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.748,0.48,2,-6.841,0,0.0287,0.542,0.000113,0.122,0.888,120.951,4
5Yvj0inHD9R6ZhnlIKizi8,"Pagan Church","Pagan Church","John Craigie,TK & The Holy Know-Nothings",2024-01-12,366004,14,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:05:09Z,"alt country,americana","ZABRISKIE POINT RECORDS",0.383,0.243,4,-11.612,1,0.031,0.434,0.00843,0.1,0.134,127.815,4
0S6KgEZ6oHoJMEgggk5fbx,"Hell","Little Rope","Sleater-Kinney",2024-01-19,194200,25,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.238,0.461,2,-9.251,1,0.0454,0.0447,0.000792,0.0964,0.168,127.986,4
5o3ombwsKQAYnHyKa9Jbwg,"Needlessly Wild","Little Rope","Sleater-Kinney",2024-01-19,171986,21,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.498,0.717,8,-8.114,0,0.0389,0.0207,0.00105,0.2,0.634,134.967,4
2EgYIE84KYjf52Sw2WW4x4,"Say It Like You Mean It","Little Rope","Sleater-Kinney",2024-01-19,224840,30,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.533,0.689,1,-8.166,1,0.0251,0.0175,0.0106,0.0594,0.423,140.011,4
18BXVZ04Xm9eiSyFpD5PJE,"Hunt You Down","Little Rope","Sleater-Kinney",2024-01-19,212760,24,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.613,0.634,11,-8.457,1,0.0446,0.0196,0.0000349,0.109,0.38,114.006,4
1wf91DouhIDzyweoJpkB3F,"Small Finds","Little Rope","Sleater-Kinney",2024-01-19,187733,17,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.526,0.831,9,-6.827,0,0.0593,0.0023,0.000661,0.122,0.659,133.02,4
2yyTuHMp1LlvdA9PYquEBq,"Don’t Feel Right","Little Rope","Sleater-Kinney",2024-01-19,230200,18,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.448,0.817,11,-8.552,1,0.0396,0.00326,0.0252,0.158,0.598,151.036,4
477skswRsPZu6383JfCObM,"Six Mistakes","Little Rope","Sleater-Kinney",2024-01-19,188920,16,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.351,0.944,9,-6.813,1,0.0859,0.00963,0.232,0.123,0.354,188.305,4
2A9Oo9EmSwR2QDUZrfjQIA,"Crusader","Little Rope","Sleater-Kinney",2024-01-19,217253,17,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.64,0.678,11,-10.07,0,0.0476,0.00253,0.000065,0.312,0.609,128.935,4
2wUX1Ehw5OLzYTu6Hu4QhP,"Dress Yourself","Little Rope","Sleater-Kinney",2024-01-19,208466,16,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.632,0.593,11,-12.968,1,0.0369,0.213,0.0507,0.129,0.687,143.01,4
2RNw5tEPBdJ2oT6Gp8Ws7M,"Untidy Creature","Little Rope","Sleater-Kinney",2024-01-19,208906,22,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:13Z,"","Loma Vista Recordings",0.508,0.705,11,-7.525,1,0.0647,0.0155,0.00000626,0.0974,0.25,124.146,4
4falh3eCRkyOvHk33ZV3AV,"coelacanth","plastic death","glass beach",2024-01-19,394970,36,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:39Z,"","Run For Cover Records",0.306,0.814,7,-5.741,1,0.0373,0.212,0.419,0.1,0.125,129.41,3
3A7S7BWkfSEdqAMSsOz5dD,"motions","plastic death","glass beach",2024-01-19,212187,38,mmr4r23xnc6oh1c77lysfbqg4,2025-01-29T01:06:39Z,"","Run For Cover Records",0.503,0.931,1,-3.361,0,0.0682,0.0178,0.082,0.101,0.738,162.008,4
