Artist,Tags
Oracle Sisters,"indie pop, dream pop, french, indie, france"
Blondshell,"seen live, indie rock, dream pop, indie, indie pop"
Billie Marten,"indie, folk, indie pop, british, female vocalists"
Charlie Hickey,"seen live, indie, folk, indie pop, indie rock"
Michigander,"indie pop, indie rock, seen live, indie, alternative"
Overcoats,"female vocalists, electronic, pop, indie pop, indietronica"
The Hackles,"folk, seen live, country"
Cub Sport,"australian, pop, indie pop, indie, power pop"
Transviolet,"pop, electropop, indie pop, female vocalists, indie"
Nico Paulo,"indie pop, folk, Canadian, dream pop, portuguese"
Dead Love Triangle,
Babe Corner,"indie rock, indie pop, canada, Canadian, dream pop"
Kate Davis,"indie rock, indie pop, jazz, pop, Soundtrack"
Tyler,"seen live, rock, japanese, austrian, indie"
LIES,"rock, Crust, alternative metal, d-beat, alternative rock"
Pillow,"post-rock, instrumental, ambient, post rock, electronic"
Perry Brown,
Macklemore,"Hip-Hop, rap, underground rap, seattle, hip hop"
Matthew Logan Vasquez,"indie rock, americana, folk rock, rock, USA"
Tessa Violet,"pop, indie pop, indie, russian, female vocalists"
half•alive,"indie pop, indie, seen live, alternative, indie rock"
boygenius,"seen live, indie, indie folk, indie rock, folk"
Superviolet,"indie rock, pop punk, USA, punk rock"
ADMT,UK
Withered Hand,"seen live, folk, singer-songwriter, indie, indie folk"
Matt Maltese,"pop, singer-songwriter, indie pop, indie, british"
Angel Olsen,"folk, indie folk, seen live, Lo-Fi, female vocalists"
Worriers,"punk rock, seen live, pop punk, punk, indie rock"
CHPTRS,"cinematic, american, Indie-Rock, indie-pop"
Fenne Lily,"folk, singer-songwriter, female vocalists, indie folk, seen live"
IshDARR,"rap, Hip-Hop, wisconsin, hip hop, USA"
The Weakerthans,"seen live, indie, Canadian, indie rock, rock"
NilexNile,"hip hop, milwaukee"
Mom Rock,"rock, alternative, alternative rock"
Kalle Mattson,"indie folk, folk, indie, canada, indie rock"
Spaceport,"trance, progressive trance, electronic, indie, Classical"
Dreamville,"rap, Hip-Hop, hip hop, jazz rap, Conscious Hip Hop"
Miss Grit,"art pop, indie rock, rock, USA, seen live"
Phoneboy,"indie, indie pop, indie rock, USA, good"
John Blek,"folk, seen live, singer-songwriter, irish"
FONTINE,"canada, Winnipeg, manitoba"
Dignan Porch,"seen live, Lo-Fi, shoegaze, indie, psychedelic"
The Academic,"seen live, rock, indie rock, alternative, irish"
@,"mysterious, mistagged artist, unknown, rock, Soundtrack"
Steady Holiday,"dream pop, indie pop, electronic, pop, female vocalists"
Niamh Regan,"singer-songwriter, irish, folk"
Cat Clyde,"blues, singer-songwriter, bluegrass, indie, seen live"
Mimi Webb,"pop, seen live, british, electropop, female vocalists"
Free Range,"techno, experimental, ebm, folk, electro"
Low Island,"indie pop, electronic, british, seen live, pop"
The Nude Party,"Garage Rock, seen live, rock, folk, USA"
Plain Speak,"indie, rock, alternative, alternative rock, indie rock"
Black Honey,"seen live, indie rock, rock, alternative rock, female vocalists"
Hand Habits,"seen live, folk, indie, indie folk, singer-songwriter"
Lichen Slow,"indie rock, rock, alternative rock, england, scotland"
Lana Del Rey,"female vocalists, indie, indie pop, pop, alternative"
Field Guide,"folk, indie rock, USA, folk rock, indie folk"
Masego,"rnb, jazz, seen live, soul, electronic"
The Blaze,"House, seen live, electronic, deep house, french"
Jenny O.,"indie, acoustic, singer-songwriter, indie pop, female vocalists"
Shalom,"Czech, hard rock, synthpop, pop, reggae"
Wave Chapelle,"trap, Hip-Hop, rap, hiphop"
Charlie Burg,"singer-songwriter, rnb, soul, indie, USA"
IDK,"rap, Hip-Hop, trap, rnb, hip hop"
Mariel Buckley,"folk, singer-songwriter, canada, americana, america"
Esmé Patterson,"folk, country, folk rock, seen live, indie"
Florist,"seen live, indie pop, Lo-Fi, indie folk, folk"
THICK,"indie rock, punk rock, rock, female vocalists, pop punk"
Pete Yorn,"singer-songwriter, rock, indie, alternative, indie rock"
Bathtub Cig,"indie, indie pop, singer-songwriter, USA, Lo-Fi"
Rogue Valley,"indie, folk, indie rock, alternative rock, USA"
The Medium,"rap, Hip-Hop, polish, Drum and bass, hardstep"
Big Wild,"electronic, Hip-Hop, glitch-hop, instrumental hip-hop, hip hop"
MARO,"pop, portuguese, Eurovision, jazz, Portugal"
Mac Miller,"Hip-Hop, rap, underground hip-hop, pittsburgh, underground rap"
Maya Hawke,"folk, indie, singer-songwriter, indie pop, alternative"
070 Shake,"rnb, seen live, hip hop, rap, Hip-Hop"
Flatbush Zombies,"Hip-Hop, rap, underground hip-hop, hip hop, Brooklyn"
cheerbleederz,"indie rock, indie pop, female vocalists, pop rock, british"
Julia Jacklin,"seen live, singer-songwriter, folk, indie folk, indie"
Kenny Beats,"seen live, beats, The Police, Hip-Hop, electronic"
Sampa the Great,"Hip-Hop, rap, hip hop, australian, zambia"
Lauv,"pop, indie pop, indie, american, jazz"
Oliver Sim,"indie pop, indie, electronic, british, indie rock"
Sorcha Richardson,"dream pop, indie pop, folk, female vocalists, irish"
Disq,"indie pop, indie rock, power pop, USA, Garage Rock"
Marci,"indie pop, dream pop, synthpop, female vocalists, synth pop"
Mattiel,"indie rock, indie, female vocalists, rock, USA"
Art Moore,"indie pop, dream pop, indie, female vocalists, USA"
Didirri,"indie, folk, australian, seen live, alternative"
Remnose,indie folk
Dan Croll,"indie pop, indie, electronic, seen live, pop"
Surf Mesa,"electronic, Lo-Fi, seattle, USA, elektro"
Alex Lahey,"indie rock, australian, indie, rock, seen live"
Emmitt James,
Ondara,"singer-songwriter, folk, kenya, Kenyan, Black folk"
David Wax Museum,"folk, seen live, americana, indie, indie folk"
Charlotte Cornfield,"Canadian, seen live, folk, indie folk, female vocalist"
Fatoumata Diawara,"mali, african, world, female vocalists, guitar"
Local Natives,"indie, indie rock, seen live, folk, indie pop"
Khalid,"rnb, pop, soul, alternative, alternative rnb"
Charlotte Cardin,"singer-songwriter, pop, Canadian, seen live, canada"
Josie Dunne,"pop, soul, folk, indie pop, singer-songwriter"
The Aquadolls,"Lo-Fi, indie pop, garage pop, indie, surf rock"
SuperYou,
Miya Folick,"singer-songwriter, indie pop, indie, pop, seen live"
Dream Wife,"rock, dream pop, punk, seen live, indie rock"
Greg Mendez,"indie, indie rock, USA, indie folk"
Spillage Village,"rap, Hip-Hop, hip hop, Conscious Hip Hop, soul"
Editors,"seen live, indie, indie rock, british, alternative"
The Violet Nines,
Brotherkenzie,"indie, folk, Minnesota, singer-songwriter, USA"
Jacob Slade,"acoustic, indie pop, singer-songwriter, USA, diy"
JID,"rap, Hip-Hop, hip hop, seen live, trap"
Generationals,"indie, indie pop, indie rock, jangle pop, New Orleans"
Offset,"trap, Hip-Hop, rap, hip hop, ambient"
British India,"australian, indie, seen live, indie rock, Garage Rock"
illuminati hotties,"indie rock, power pop, seen live, indie pop, indie"
Julien Baker,"seen live, indie, singer-songwriter, folk, indie folk"
The Silent Years,"indie, seen live, Michigan, detroit, alternative"
Buddy,"Hip-Hop, rap, german, indie, Schlager"
Kings of Convenience,"indie, acoustic, norwegian, indie pop, Mellow"
Phoebe Bridgers,"seen live, singer-songwriter, folk, indie folk, indie"
Kodaline,"indie rock, alternative, irish, indie, seen live"
The Wild Reeds,"folk, rock, indie rock, female vocalists, USA"
S.G. Goodman,"folk, indie, country, female vocalists, USA"
Glass Animals,"electronic, seen live, trip-hop, indie, british"
Lucy Rose,"folk, female vocalists, indie, indie folk, british"
Jess Cornelius,"indie rock, indie, rock, alternative rock, indie pop"
Bacchae,"punk, post-punk, punk rock, punk pop, synth punk"
Hinds,"seen live, Lo-Fi, indie rock, indie, Garage Rock"
Family of the Year,"folk, indie folk, indie, indie pop, folk pop"
Dizzy,"indie pop, finnish, alternative, dream pop, pop"
Avid Dancer,"indie pop, indie rock, indie, singer-songwriter, USA"
thanks for coming,"bedroom pop, indie, indie pop, indie rock, Lo-Fi"
MAITA,"indie pop, indie rock, indie, rock, folk"
Mase,"Hip-Hop, rap, hip hop, rnb, hiphop"
Sylvan Esso,"electronic, seen live, electropop, female vocalists, pop"
Cut Worms,"folk, indie, alternative country, seen live, country"
Girl Friday,"indie, Grunge, alternative, female vocalists, seen live"
Young Deuces,"tde, dreamville, lute, milwaukee, Cozz"
Rosie Carney,"folk, singer-songwriter, british, female vocalists, UK"
GRMLN,"dream pop, indie rock, chillwave, pop, rock"
Arlo Parks,"rnb, soul, pop, female vocalists, Neo-Soul"
Mountain Man,"folk, hardcore, female vocalists, indie folk, seen live"
Oh,"metal, seen live, thai, bulgarian, Seen Perform Live"
Yowler,"folk, ambient, slowcore, acoustic, Columbus"
We Are The Willows,"folk, indie, Minnesota, acoustic, wisconsin"
JR JR,"indie, alternative, electronic, seen live, pop"
Josiah and the Bonnevilles,"folk, americana, american, Alt-country, All"
Sorry,"post-punk, indie rock, Crank wave, indie pop, hardcore"
Joan Shelley,"folk, singer-songwriter, acoustic, female vocalists, americana"
