Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5rRBzP3ywyBThLLoQcJuOv,"Be Kind","Tether","Annahstasia",2025-06-13,307373,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.486,0.152,2,-11.748,1,0.0559,0.815,0.0000494,0.348,0.242,121.175,4
spotify:track:0sUJVa3AFcEqdy11QtiZCY,"Villain","Tether","Annahstasia",2025-06-13,270520,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.561,0.356,1,-11.346,1,0.0354,0.86,0.397,0.0975,0.294,90.552,4
spotify:track:1rcYA73ZweMy1OxuaDYCg2,"Unrest","Tether","Annahstasia",2025-06-13,216040,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.412,0.195,7,-13.634,1,0.0349,0.908,0.00885,0.106,0.206,114.604,5
spotify:track:4yaLykONMz1l9e0bErOJuf,"Take Care of Me","Tether","Annahstasia",2025-06-13,230560,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.326,0.25,7,-11.981,0,0.0324,0.884,0.00753,0.108,0.156,92.601,4
spotify:track:5i5Rt40zinWyID6QGp8gso,"Slow","Tether","Annahstasia,Obongjayar",2025-06-13,264013,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"alté","drink sum wtr",0.306,0.292,9,-10.923,0,0.03,0.899,0.000304,0.0812,0.195,89.575,4
spotify:track:32SubIZx2ZcDZlpmKukSPq,"Waiting","Tether","Annahstasia",2025-06-13,214400,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.254,0.359,7,-7.333,1,0.028,0.668,0.00219,0.221,0.139,81.455,4
spotify:track:4tlRntHaaTE60kWkcn12re,"Overflow","Tether","Annahstasia",2025-06-13,236693,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.445,0.487,10,-6.622,1,0.0277,0.502,0,0.12,0.331,88.788,4
spotify:track:5euedsimUqfVXlr119uJkG,"All Is. Will Be. As It Was.","Tether","Annahstasia,aja monet",2025-06-13,166186,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"spoken word","drink sum wtr",0.547,0.198,5,-17.403,1,0.144,0.816,0.0102,0.0993,0.215,132.807,4
spotify:track:0DBYse5Fm3xehgr0TkscJk,"Silk And Velvet","Tether","Annahstasia",2025-06-13,152906,0,true,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.469,0.085,9,-10.946,1,0.0403,0.746,0,0.115,0.21,113.637,1
spotify:track:4Q33mh1QlWoXs8Vlc9LBac,"Satisfy Me","Tether","Annahstasia",2025-06-13,186026,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.562,0.143,9,-11.634,1,0.0575,0.85,0.00000752,0.113,0.202,139.905,4
spotify:track:6gLOkCljeiC4m4bJj6BT8l,"Believer","Tether","Annahstasia",2025-06-13,362880,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:24:52Z,"","drink sum wtr",0.494,0.505,10,-7.469,1,0.0351,0.431,0.000199,0.155,0.148,125.503,4
spotify:track:5Ab5DhrkssGHhI5TFeKLBi,"Curæ","2t2","Cosey Fanni Tutti",2025-06-13,306529,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.531,0.61,4,-18.009,0,0.0466,0.0438,0.898,0.105,0.131,119.942,4
spotify:track:1UEnzmSwPHzboGq9LMvfm1,"To Be","2t2","Cosey Fanni Tutti",2025-06-13,283153,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.549,0.565,1,-16.893,1,0.0455,0.333,0.88,0.108,0.46,129.974,4
spotify:track:0AYKFyuNjbUsNL7008RHxj,"Stound","2t2","Cosey Fanni Tutti",2025-06-13,247128,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.456,0.304,1,-20.691,1,0.0326,0.0814,0.857,0.28,0.0338,120.015,4
spotify:track:2Nd5SF6YZoYjV29mhVjU99,"Never The Same","2t2","Cosey Fanni Tutti",2025-06-13,281957,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.217,0.473,8,-16.345,1,0.0403,0.0215,0.664,0.109,0.132,174.86,4
spotify:track:044nm9kEpAfBmbaqab66Fw,"Stolen Time","2t2","Cosey Fanni Tutti",2025-06-13,257400,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.381,0.295,5,-17.919,1,0.0285,0.504,0.933,0.0977,0.0703,99.998,4
spotify:track:3ANrPGabAV9YrEleQGj2l5,"Respair","2t2","Cosey Fanni Tutti",2025-06-13,213702,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.26,0.283,0,-17.692,1,0.0853,0.391,0.2,0.107,0.1,160.548,4
spotify:track:1PoXgKPL5tyCPODKYYVOYI,"Threnody","2t2","Cosey Fanni Tutti",2025-06-13,257407,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.147,0.221,0,-25.923,1,0.0446,0.627,0.831,0.0911,0.0548,79.537,4
spotify:track:2zoKTdBSEi97L1YTy6ZOpv,"Sonance","2t2","Cosey Fanni Tutti",2025-06-13,315000,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.171,0.0637,9,-28.947,1,0.041,0.769,0.774,0.11,0.0317,116.569,4
spotify:track:1rtrCKvn9l76YurEfrrtyj,"Limbic","2t2","Cosey Fanni Tutti",2025-06-13,253280,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:29Z,"experimental,industrial","Conspiracy International",0.0965,0.42,5,-24.036,1,0.246,0.521,0.868,0.113,0.0375,75.603,3
spotify:track:1Mb0lDTrBzgHFBGyv8bdJ9,"Driva'man","We Insist 2025!","Terri Lyne Carrington,Christie Dashiell,Weedie Braimah,Milena Casado,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,498120,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:39Z,"jazz,vocal jazz,jazz fusion","Candid",0.848,0.633,1,-12.689,0,0.0815,0.69,0.188,0.242,0.675,118.006,5
spotify:track:4DLCIxNWIyD2Q4puDPZ48w,"Freedom Day (Part 1)","We Insist 2025!","Terri Lyne Carrington,Christie Dashiell,Milena Casado,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,256105,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:39Z,"jazz,vocal jazz,jazz fusion","Candid",0.53,0.278,1,-14.598,1,0.051,0.765,0.292,0.0627,0.23,80.455,4
spotify:track:7InanVQxyhtruqv0Ao8dop,"All Africa","We Insist 2025!","Terri Lyne Carrington,Christie Dashiell,Weedie Braimah,Milena Casado,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,441440,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:39Z,"jazz,vocal jazz,jazz fusion","Candid",0.561,0.478,10,-13.124,0,0.0908,0.738,0.113,0.1,0.436,107.157,5
spotify:track:0Ke6iP0yBzmiypKWRtex7f,"Boom Chick","We Insist 2025!","Terri Lyne Carrington,Christie Dashiell,Christiana Hunte",2025-06-13,96160,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:39Z,"jazz,vocal jazz","Candid",0.761,0.473,6,-16.495,1,0.896,0.334,0,0.135,0.392,175.882,4
spotify:track:1yEkGxnVpLoT2f2yz4M3aN,"Triptych: Resolve/Resist/Reimagine","We Insist 2025!","Terri Lyne Carrington,Christie Dashiell,Ayodele Casel,Milena Casado,Devon Gates,Morgan Guerin,Simon Moullier,Matthew Stevens",2025-06-13,441146,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:39Z,"jazz,vocal jazz,jazz fusion","Candid",0.524,0.357,10,-15.128,0,0.0723,0.799,0.336,0.097,0.427,119.926,5
spotify:track:2unUztvYcBQ5nNZ6iccd7F,"Tears For Johannesburg","We Insist 2025!","Terri Lyne Carrington,Christie Dashiell,Julian Preister,Weedie Braimah,Milena Casado,Morgan Guerin,Matthew Stevens",2025-06-13,471346,0,false,mmr4r23xnc6oh1c77lysfbqg4,2025-06-13T12:25:39Z,"jazz,vocal jazz,jazz fusion","Candid",0.75,0.569,8,-13.833,1,0.0593,0.127,0.766,0.106,0.52,94.487,5
