Artist,Album Name,Album Art
Jesse Welles,Middle,https://lastfm.freetls.fastly.net/i/u/300x300/e51fd32ed35f3f1f4158a8797cba5a12.jpg
Sunny War,Armageddon In A Summer Dress,https://lastfm.freetls.fastly.net/i/u/300x300/763040e3aa10c6489c5588ee6caed3e2.jpg
Patterson Hood,Exploding Trees & Airplane Screams,https://lastfm.freetls.fastly.net/i/u/300x300/adee35faef9afc37f54ef81e27eedf5b.jpg
Sam Fender,People Watching,https://lastfm.freetls.fastly.net/i/u/300x300/0d6b6271f1117250dfbe548591de76ff.jpg
Saya Gray,SAYA,https://lastfm.freetls.fastly.net/i/u/300x300/02a0e133dbd532688243430a4aa4b05e.png
Cristina Vane,Hear My Call,https://lastfm.freetls.fastly.net/i/u/300x300/d9dc16985e2b9b972057e4ae8056188d.jpg
Tate McRae,So Close To What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
Youth Lagoon,Rarely Do I Dream,https://lastfm.freetls.fastly.net/i/u/300x300/af111ad27bca0f6ce24bd7461a1c959f.png
Nao,Jupiter,https://lastfm.freetls.fastly.net/i/u/300x300/9aba26cad9600ae465b1354a846f8f31.jpg
Paul Thorn,Life Is Just A Vapor,https://lastfm.freetls.fastly.net/i/u/300x300/4809965bad50c6c50a9816f569834d66.jpg
Q Lazzarus,Goodbye Horses: The Many Lives of Q Lazzarus (Music From The Motion Picture),https://lastfm.freetls.fastly.net/i/u/300x300/3f0fcb6d36a1513dfb3649e59299f0e5.jpg
Jim Ghedi,Wasteland,https://lastfm.freetls.fastly.net/i/u/300x300/f5b451a2bd7c9638f58b6d8be788dec6.jpg
Califone,The Villager's Companion,https://lastfm.freetls.fastly.net/i/u/300x300/40709feb560a13f5792f8d8b966893c8.jpg
The Murder Capital,Blindness,https://lastfm.freetls.fastly.net/i/u/300x300/f5e8dd3f9eabe52d72402851f570dcf6.png
Anxious,Bambi,https://lastfm.freetls.fastly.net/i/u/300x300/2992fff202bf4af47910fce96f39b6ba.jpg
Basia Bulat,Basia's Palace,https://lastfm.freetls.fastly.net/i/u/300x300/8f33990c2e3a1b80bf6940092e942e98.png
Porridge Radio,The Machine Starts To Sing,https://lastfm.freetls.fastly.net/i/u/300x300/c7e4fdb4b14ed73750cf8567f189f2f0.jpg
Chase Matthew,CHASE,https://lastfm.freetls.fastly.net/i/u/300x300/d19a1995f1775919c5505d154a3a48a8.jpg
Kameron Marlowe,Sad Songs for the Soul,https://lastfm.freetls.fastly.net/i/u/300x300/548c9bcd2a87cbceaf7a4149b9baba44.jpg
The Reverend Peyton's Big Damn Band,Honeysuckle,https://lastfm.freetls.fastly.net/i/u/300x300/536251cef49511b0e4269cba64ea35fd.jpg
Imagine Dragons,Reflections (From The Vault Of Smoke + Mirrors),https://lastfm.freetls.fastly.net/i/u/300x300/7b10e8eda4699160dbb221536440aa1f.jpg
Mike Posner,The Beginning,https://lastfm.freetls.fastly.net/i/u/300x300/91920b9b060e3f3dfdcc06ae5f250789.jpg
Baths,Gut,https://lastfm.freetls.fastly.net/i/u/300x300/2ccd53235e6c04d3eb2199adffc09294.jpg
Chalk,Conditions III,https://lastfm.freetls.fastly.net/i/u/300x300/766093c7a444be15f66d76d8d40108c2.jpg
Ffa Coffi Pawb,Dalec Peilon,https://lastfm.freetls.fastly.net/i/u/300x300/4e7e9e4e388d15b5a7c436361dead1f0.jpg
IDER,Late to the World,https://lastfm.freetls.fastly.net/i/u/300x300/c0ef690610286f0ae29ae29e63ea0d77.png
Luke Sital-Singh,Fool's Spring,https://lastfm.freetls.fastly.net/i/u/300x300/d5676b373ead5500d515c037758a3244.jpg
Maruja,Tír na nÓg,https://lastfm.freetls.fastly.net/i/u/300x300/46f19915c5e6c0c975e42c882a9e9d45.png
Ray Bull,Little Acts Of Violence,https://lastfm.freetls.fastly.net/i/u/300x300/7dae415c4099fdabdfe00233f378c57a.jpg
Puma Blue,antichamber,https://lastfm.freetls.fastly.net/i/u/300x300/874ebada81f3f11698d8ba62fd79ff46.jpg
Paris Texas,They Left Me With The Sword,https://lastfm.freetls.fastly.net/i/u/300x300/d4f0bde9a645a3a34dba90c34da0bc4a.jpg
Smif-N-Wessun,Infinity,https://lastfm.freetls.fastly.net/i/u/300x300/223e8c2a78c0039a71cdf6c61c98a211.jpg
SAINt JHN,FESTIVAL SEASON,https://lastfm.freetls.fastly.net/i/u/300x300/1d64119a1ff586289e96e374eecb6e83.jpg
Masma Dream World,PLEASE COME TO ME,https://lastfm.freetls.fastly.net/i/u/300x300/a5ecdd0d526c8cc78b96024e91d6d302.jpg
Amulets,Not Around But Through,https://lastfm.freetls.fastly.net/i/u/300x300/f90df9645d9d12c7ac3c4813d44c67b5.jpg
Bianca Oblivion,NET WORK,https://lastfm.freetls.fastly.net/i/u/300x300/1cd159b07c794e588e04c9dda3eabd5a.jpg
Mandrake Handshake,Earth-Sized Worlds,https://lastfm.freetls.fastly.net/i/u/300x300/8d365d97dd0bc754614655e5b440b02e.jpg
Motorpsycho,Motorpsycho,https://lastfm.freetls.fastly.net/i/u/300x300/ae4ed8dae1e921f385588c3f4159044c.jpg
Oren Ambarchi,Kind Regards,https://lastfm.freetls.fastly.net/i/u/300x300/4729f44abc9a04dffc4f298e4884782f.jpg
Tim Hecker,Shards,https://lastfm.freetls.fastly.net/i/u/300x300/c0aec660f227bc10f02f4c2c55ddf253.jpg
