Album Name,Artist Name(s),Album ID,Spotify URL
Foxes in the Snow,Jason Isbell,6OgNgnMcqhcDw01qXlw8el,open.spotify.com/album/6OgNgnMcqhcDw01qXlw8el
MAYHEM,Lady Gaga,2MHUaRi9OCyTN02SoyRRBJ,open.spotify.com/album/2MHUaRi9OCyTN02SoyRRBJ
Super Pedestrian,Annie DiRusso,1VWd62Gbw17U0BUEp1jZE6,open.spotify.com/album/1VWd62Gbw17U0BUEp1jZE6
PAPOTA,"CA7RIEL & Paco Amoroso,CA7RIEL,Paco Amoroso",1NDJk94691Vydq1IrIeGC0,open.spotify.com/album/1NDJk94691Vydq1IrIeGC0
Blood On the Silver Screen,SASAMI,6jfOmBdOak7W53fjqGfgMH,open.spotify.com/album/6jfOmBdOak7W53fjqGfgMH
Drive to Goldenhammer,Divorce,1JlbWPlZef4pXOdFBsK994,open.spotify.com/album/1JlbWPlZef4pXOdFBsK994
Ruby,"JENNIE,FKJ",4gBtLWLja2rOze5SknGdUZ,open.spotify.com/album/4gBtLWLja2rOze5SknGdUZ
Surgery and Pleasure,Vundabar,3HQBA8C1q7gUKFkEcPuq9T,open.spotify.com/album/3HQBA8C1q7gUKFkEcPuq9T
Here We Go Crazy,Bob Mould,4wRfoEhMDdvbd6zcQk2Wfs,open.spotify.com/album/4wRfoEhMDdvbd6zcQk2Wfs
The World's Fair EP,Swervedriver,3AGAcdh6w5iRPzYvjwTRq5,open.spotify.com/album/3AGAcdh6w5iRPzYvjwTRq5
Fantasie,"Frédéric Chopin,Jeneba Kanneh-Mason",2VBiMRKdZF0UnlA2UOgOYL,open.spotify.com/album/2VBiMRKdZF0UnlA2UOgOYL
Rift,Clara Mann,0yKC26gD8CXLfTqBKVXcwv,open.spotify.com/album/0yKC26gD8CXLfTqBKVXcwv
Affectionately,Raisa K,4ZFOgsFW6cf2w0MzG4D4Cz,open.spotify.com/album/4ZFOgsFW6cf2w0MzG4D4Cz
Noor-e Vojood,Mohammad Mostafa Heydarian,3tEm5SjojNJ79ZrW5iTQ7R,open.spotify.com/album/3tEm5SjojNJ79ZrW5iTQ7R
Infiltrating Roku City,shinetiac,1hpLHDcAqb7Rw6DItpOCLZ,open.spotify.com/album/1hpLHDcAqb7Rw6DItpOCLZ
Cotton Crown,The Tubs,3CyhN08fdNqH1lEojtDSFP,open.spotify.com/album/3CyhN08fdNqH1lEojtDSFP
Points Of Origin,Will Stratton,5kjbZokM10OexxRnyJvwK5,open.spotify.com/album/5kjbZokM10OexxRnyJvwK5
Hot Shock,HotWax,3Mb1kIexwEEpa8mc9HLNOl,open.spotify.com/album/3Mb1kIexwEEpa8mc9HLNOl
"I Miss You, I Do",Arny Margret,6CkmnTjDTdbr2XsdyItIKm,open.spotify.com/album/6CkmnTjDTdbr2XsdyItIKm
Applesauce,Esme Emerson,3OBdKoFtSsBVqk7UDWH2M0,open.spotify.com/album/3OBdKoFtSsBVqk7UDWH2M0
Big Ugly,Fust,6jNbLon7QmLGibekT6RFOa,open.spotify.com/album/6jNbLon7QmLGibekT6RFOa
Bucolic Gone,LAKE,2jlyAv7Zmwt6T7GtzuO0dJ,open.spotify.com/album/2jlyAv7Zmwt6T7GtzuO0dJ
All In The Game,Moreish Idols,4zhTIqcLbPovVPYtWAtFhM,open.spotify.com/album/4zhTIqcLbPovVPYtWAtFhM
This Side of the Island,Hamilton Leithauser,06d60TFUm7t91QHcVKq65T,open.spotify.com/album/06d60TFUm7t91QHcVKq65T
