Album,Artist,Predicted_Score,gut_score,gut_score_date,notes
No Love Lost to Kindness,Yumi Zouma,71.65725589340092,,,
Fireworks (Deluxe Edition),No Money Kids,64.19403112133328,,,
OCTANE,Don Toliver,63.756605386311904,,,
Gospel Music,Joel Ross,63.38595372600896,,,
Lucky Now,Lande Hekt,61.965562046018924,,,
The Boy who cried Terrified .,fakemink,58.980550050057545,,,
BACKWARD,Jordan Ward,57.00239417878688,,,
Appalachia,Emily Scott Robinson,54.9012540015997,,,
All Tied Together,Ye Vagabonds,52.11637417162934,,,
As of Now,LORD JAH-MONTE OGBON,49.23770338642662,,,
NOTHING TO GIVE,Cold Blood AU,48.799095245663615,,,
Can I Get A Pack Of Camel Lights?,Geologist,45.39626771670585,,,
Monster Of The Week,Tulpa,45.27042162009295,,,
No me fui porque quise,Orestes Gomez;Ensamble B11,44.218239857661594,,,
At Their Very Best,red sun,43.613729827158934,,,
Eon of Obscenity,Stabbing,43.05375232641252,,,
Lines Crossed,Minus Youth;DEFIANCE HC,42.48222354989421,,,
Graze the Bell,David Moore,40.71664924395801,,,
When A Flower Doesn't Grow,Softcult,40.333576694954,,,
"Love, Keep Me Afraid",Muttering,37.66388604476355,,,
My Ghosts Go Ghost,By Storm;Injury Reserve,37.5704443258189,,,
I Used To Go To This Bar,Joyce Manor,37.416191242965155,,,
