Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,source_file,predicted_score
Prizefighter,Mumford & Sons;Chris Stapleton,78.92273657518369,,,,,
Instant Comfort,Lucid Express,74.79629048562188,,,,,
Da Realest,Babyfxce E,72.03093814288975,,,,,
Dedication,Mirah,70.18364031909104,,,,,
It's My Party,Meg Mac,69.62400004167282,,,,,
Eternal Pieces,William Hut,68.40347011711256,,,,,
ALL MONSTERS,MX LONELY,67.8333277059974,,,,,
My Ego Told Me To,Leigh-Anne,66.45541782069904,,,,,
Heaven Ain't Sold,Choker,66.18070479456404,,,,,
New Day,Liz Cooper,64.19034799859153,,,,,
Sports,Sports,63.21686740231666,,,,,
Spiral Staircases,Larry June;Curren$y;The Alchemist,62.7361255530772,,,,,
My World Is The Sun,Dominique Fils-Aimé,62.419999233108456,,,,,
Paracosm,Absolutely,60.65242142769274,,,,,
ISOLA,Gabriela Richardson,58.565573927995615,,,,,
Tragedy in U.S. History,Beggar Weeds,58.107109123345126,,,,,
"Alive, July 25 2025",Jeffrey Martin,57.08622717491256,,,,,
Ca$ino,Baby Keem,57.01993092047128,,,,,
NOT A CHANCE IN HELL,Mozzy;EST Gee,55.902207336478966,,,,,
wonderful,skaiwater;Ti Steele,55.09048899198645,,,,,
petal rock black,WILLOW;George Clinton,54.91943144285733,,,,,
When the Ships of My Dreams Return,The Goldberg Sisters,54.33271349728195,,,,,
Sweet Heart Sugar Love,Worries And Other Plants,53.013520701407344,,,,,
Triple Sabotage,Toys That Kill,52.5665483219241,,,,,
Cloud 9,Megan Moroney,52.42329892080033,,,,,
Street Druid,Ben Vince,50.59649667550457,,,,,
Wave Field,Drew Gardner,49.74579969945462,,,,,
standards,smush,49.67274098580348,,,,,
Garip,Altin Gün,45.65074441190183,,,,,
Listen Up!,New Found Glory,45.10811453154451,,,,,
Simpleton,Kerrin Connolly,44.64023493314472,,,,,
Drasticism,Bella Litsa,44.63396837353915,,,,,
DISCOMBOBULATED,Hen Ogledd,44.551455153823646,,,,,
Deuce,Manu Delago;Max ZT,44.41590199610589,,,,,
Willows,Ralph Vaughan Williams;Pekka Kuusisto;Norwegian Chamber Orchestra,44.26695167703848,,,,,
Waves,Moonchild;Jill Scott;Rapsody,43.88943393885463,,,,,
Or Hans Gruber and the Die Hards,Hans Gruber and the Die Hards,43.49981256580841,,,,,
And So It Is,Aaron Shaw,42.71476865321459,,,,,
Deface The Currency,The Messthetics;James Brandon Lewis,42.0768327411892,,,,,
Carnival,trauma ray,41.58958272649605,,,,,
Wings of Desire,Hemi Hemingway,39.06888868084999,,,,,
Beautiful Disaster,MGNA Crrrta,37.13475979120613,,,,,
WORLD WAR TOO,Borokov Borokov;Marie Klock,36.34019056156854,,,,,
5 Signs You Are Dealing With A Human Demon,Schacke,31.025352092027685,,,,,
Don't Blame The Peach,Twat Union,,80.0,2026-03-16 14:15:52,"It's a bit crass, but girly british punk is a genre I do enjoy.",02-20-26_Album_Recommendations.csv,
