Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,Similar Artists,source_file,predicted_score
Ghosts In The Machinery,The Head And The Heart,91.09979141005456,,,,"The Lumineers, Caamp, Blind Pilot, Mt. Joy, Vance Joy, Gregory Alan Isakov, Houndmouth, The Avett Brothers",,
Assumption,Landowner,74.74389397302653,,,,"Stuck, Uranium Club, Ought, Institute, EXEK, Parquet Courts, Alien Nosejob, Minutemen",,
The Great Satan,Rob Zombie,71.17709123379909,,,,"White Zombie, Powerman 5000, Static-X, Marilyn Manson, Dope, Scum of the Earth, Genitorturers, Rammstein",,
Highway To Heavenly,Heavenly,69.2162972971977,,,,"Talulah Gosh, Tiger Trap, Dressy Bessy, Gaze, The Softies, The Field Mice, Cub, Dionysus",,
star scum city,2charm,68.62535674528131,,,,"Blusher, Cub Sport, Cat & Calmell, Mallrat, Keli Holiday, The Tullamarines, Ball Park Music, Confidence Man",,
Nothing's About to Happen to Me,Mitski,68.39194047069329,,,,"Sir Chloe, Fiona Apple, Solya, Lucy Dacus, beabadoobee, Black Box Recorder, Lana Del Rey, Japanese Breakfast",,
Silent Century,Jackie West,68.17736278436126,,,,"Alena Spanger, Magic Al, Natalie Jane HIll, Nico Paulo, Renée Reed, Olivia Kaplan, Ruth Garbus, Frail Talk",,
everything is a lot.,Wale,67.56014156573578,,,,"Rick Ross, Fabolous, Meek Mill, Big Sean, DJ Khaled, Wiz Khalifa, T.I., Young Jeezy",,
THE WARNING,Telenova,65.81072129303251,,,,"Noémie Wolfs, Freedom Fry, Millie Turner, Sycco, Winona Oak, Holy Holy, Ball Park Music, Charles",,
TIGRAY FUNK,Sideshow;SEXWORKS,65.8057810361972,,,,,,
Cold Walk,Triple Blind,64.53649500854401,,,,"The Exuberants, Medalark Eleven, Some Have Fins, Poppy Factory, The Last Peach, Isabel Pine, Headtime, YĪN YĪN",,
With No Due Respect,Foggieraw,63.510868799950536,,,,"Premo Rice, Eem Triplin, Lecrae, Justicexavier, Nino Paid, MARCO PLUS, WHATUPRG",,
Soul Woman,Michelle David & The True-tones,62.35593044015481,,,,"Michelle David & The Gospel Sessions, Lorrèn, Sabri, Likeminds, Dawn Brothers, Jana Mila, The Indien, Marlon Pichel",,
My Name,Tony Bontana;Izzi Richards,61.75130928751308,,,,,,
The Mountain,Gorillaz;Dennis Hopper;Ajay Prasanna;Anoushka Shankar;Amaan Ali Bangash;Ayaan Ali Bangash,61.165721876574366,,,,"Gorillaz;Asha Puthli;Bobby Womack;Dave Jolicoeur;Jalen Ngonda;Black Thought, Gorillaz;IDLES, Gorillaz;Tony Allen, Gorillaz;Sparks, Gorillaz;Bizarrap;Kara Jackson;Anoushka Shankar, Gorillaz;Black Thought;Johnny Marr;Anoushka Shankar, Gorillaz;Trueno;Proof, Gorillaz;Black Thought;Ajay Prasanna;Anoushka Shankar",,
Something We All Got,cootie catcher,60.99503091527681,,,,"Star 99, Frog, Merce Lemon, good flying birds, home is where, Cloakroom, Florry, oso oso",,
Even a Child Can Cover the Sun with a Finger,FORAGER,60.412800850385175,,,,"Emma Harner, Anaiis, Remi Wolf, Boys Go To Jupiter, Eloise, Katie Tupper, Mei Semones, Dogpark",,
"So Inspired, So Done In",Dog Chocolate,60.08225174710134,,,,"Bruise Blood, Chorusgirl, Ravioli Me Away, Skiving, Human Interest, Sauna Youth, Trash Kit, Nots",,
My Days of 58,Bill Callahan,59.595844785436526,,,,"Smog, Bonnie 'Prince' Billy, Palace Music, Silver Jews, Purple Mountains, Lambchop, Songs: Ohia, Magnolia Electric Co.",,
Amaro,Bibi Club,58.16964537487783,,,,"Lou-Adriane Cassidy, Ariane Roy, Elisapie, Bon Enfant, Chris Cohen, Marie-Pierre Arthur, Ariane Moffatt, Juniore",,
Femme House Vol. 3,LP Giobbi;blythe,57.960165219932335,,,,,,
ASATO,Mateus Asato,57.841559950956665,,,,"Lari Basilio, Ariel Posen, Jack Gardiner, Ego Kill Talent, Nito, Plini, Nick Johnston, ichika Nito",,
Sarah Kirkland Snider: Forward Into Light,Sarah Kirkland Snider;Metropolis Ensemble;Andrew Cyr,57.791620519194005,,,,,,
In the Low Light,Lucy Kitchen,57.43583982899715,,,,"Worry Dolls, Hattie Briggs, The Cadbury Sisters, Lucy Farrell, Martha Tilston, Katherine Priddy, Josienne Clarke, Rosie Carney",,
And The Voice Said,Tōth,56.91656822699876,,,,"Rubblebucket, runo plum, Oracle Sisters, twen, sjowgren, Tyler Ballgame, Half Waif, strongboi",,
DEADLINE,BLACKPINK,56.63983309314527,,,,"JISOO, Jennie, Rosé, Lisa, Baby Monster, JEON SOMI, Rosé, Bruno Mars, Meovv",,
Fort Perch Rock,The Dream Machine,55.55172592557361,,,,"Dead Pretties, The Velvet Hands, The Fernweh, The Family Battenberg, Florentenes, The Surfing Magazines, Miss Tiny, Cut Glass Kings",,
The Mirror,Buck Meek,54.451503350292384,,,,"Big Thief, Lomelda, Cut Worms, Adrianne Lenker & Buck Meek, Joanna Sternberg, Julie Byrne, Jess Williamson, Andy Shauf",,
