Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,Similar Artists
"Kiss All The Time. Disco, Occasionally.",Harry Styles,97.2255293601378,,,,"Louis Tomlinson, One Direction, Niall Horan, Zayn, Liam Payne, Olivia Rodrigo, Luke Hemmings, Shawn Mendes"
These Frightening Machines,Katherine Priddy,84.4967165448967,,,,"Josienne Clarke, Emily Barker, The Unthanks, Kate Rusby, Karine Polwart, Thea Gilmore, Courtney Marie Andrews, Kathryn Williams"
We Are Together Again,Bonnie Prince Billy,72.48751395770043,,,,"Palace Music, Will Oldham, Palace Brothers, Bill Callahan, Smog, Magnolia Electric Co., Songs: Ohia, Vic Chesnutt"
Never Turns To Night,Bory,71.1422774874139,,,,"Mo Troper, Golden Apples, Guv, Diners, 2nd Grade, Ratboy, Hotline TNT, Lande Hekt"
Tell Me How You Really Feel,Katelyn Tarver,69.75653301059891,,,,"Elina, Big Time Rush, BLÜ EYES, Chelsea Cutler, Taylor Bickett, Sasha Alex Sloan, Clara Mae, Anna Clendening"
Saputjiji,Tanya Tagaq,67.89193925526338,,,,"Glasser, Laurie Anderson, Sainkho Namtchylak, Björk, CocoRosie, Chelsea Wolfe, Diamanda Galás, Julianna Barwick"
Atlanta,Gnarls Barkley;CeeLo Green;Danger Mouse,66.2834427879126,,,,
silence outlives the earth,ERRA,65.21790435202983,,,,"Northlane, Invent Animate, Currents, Silent Planet, Volumes, Like Moths to Flames, Polaris, Invent, Animate"
The Set Up,The Delines,65.08190860560366,,,,"Richmond Fontaine, Patterson Hood, Gary Louris, Gretchen Peters, Jason Isbell, Gillian Welch & David Rawlings, The Felice Brothers, Steve Earle"
Hopeful Woman,Natalie Jane Hill,64.44312697941145,,,,"Jana Horn, Buck Meek, Courtney Marie Andrews, Ora Cogan, Allegra Krieger, Cut Worms, Olive Jones, Anjimile"
Eel Sparkles,Human Potential,63.86566939546136,,,,"Doe Paoro, Chancha Via Circuito, Servicioalcliente, na zarot, Winged Wheel, Nimf, Whitelabrecs, Mecánica Clásica, THUS LOVE"
the seventh gate,Elly Kace,63.20972854207935,,,,"Sarko Montaug, The Hinterland Band, Richard Berger, sister., Friend of a Friend, Thomas Feiner, The Shandies, Anderson Hao"
Dark Star,Marlon Magnée;La Femme,61.412777318216904,,,,
Fine Thanks and You,Ages and Ages,60.90512481861557,,,,"Sure Sure, Thao & The Get Down Stay Down, Blind Pilot, The Wild Reeds, Typhoon, The Dodos, Fruit Bats, Josh Ritter"
The Next From Field Commander,Field Commander Ali,58.683492300804474,,,,"Perlah, Jack Sheen, Ciro Vitiello, The Thinking Of The World Began Pounding In Our Ears The Moment We Hit Shore, Guests, Ben Vince, Pume Orenge, Felicity J Lord"
Tough Touch,Scout Gillett,58.42172253851968,,,,"Julia Shapiro, Jo Schornikow, Rat Tally, My Idea, Jackie West, Locate S,1, Breanna Barbara, Dari Bay"
Pleasant Attack,Cece Coakley,57.70377023807662,,,,"Laura Elliott, Carol Ades, Medium Build, Annika Bennett, Trousdale, Alix Page, Ella Jane, Hotel Fiction"
"Bright Lights, Tall Shadows",Savage Beat,57.26057810876563,,,,"The Reapers, Live By The Sword, Crown Court, Concrete Elite, Hammer And The Nails, Claimed Choice, Ultra Sect, cuir"
Peaky Blinders - The Immortal Man (Soundtrack from the Netflix Film),Antony Genn;Martin Slattery;Carlos O’Connell;The Immortal Man,56.697005468585914,,,,
Trixies,Squeeze,56.436534244471844,,,,"Elvis Costello, Elvis Costello & The Attractions, Joe Jackson, Marshall Crenshaw, Nick Lowe, XTC, Graham Parker, The Style Council"
Let's Give The Land Back To The Animals,Bitter Branches,53.90324891870851,,,,"Easy Prey, Our Wits, Colonial Wound, Ex Everything, Every Scar Has a Story, Be Well, Open City, Truth Cult"
Big Changes,Status/Non-Status,53.14601406572306,,,,"OMBIIGIZI, Status / Non Status, Big Bill, Zoon, nêhiyawak, OMBIIGIZI, Status/Non-Status & Zoon, Leanne Betasamosake Simpson, Eliza Niemi"
Lovesick Sentimental,Pacific Avenue,52.836728539021344,,,,"The Rions, Old Mervs, Spacey Jane, The Terrys, Beddy Rays, Velvet Trip, The Grogans, The Vanns"
HELP(2),Arctic Monkeys;War Child Records,52.56733625394181,,,,
It's Glass,Dutch Interior,52.48238052343804,,,,"Greg Freeman, Frog, Colin Miller, Fat, Evil Children, Florry, MJ Lenderman, 22º Halo, Shallowater"
News from Planet Zombie,The Notwist,52.461890481690624,,,,"Lali Puna, Tocotronic, 13 & God, Slut, Ms. John Soda, PeterLicht, Die Sterne, Tomte"
Queen of Texas,Solya,51.844748559942936,,,,"Lizzie And The Cannibals, Black Box Recorder, Elita, Mitski, Esha Tewari, Temachii, Sophie Woodhouse, Saint Avangeline"
Losing,SLAG,51.83775829621639,,,,"Hutch, Nerves, DFC, Leptospirose, No Relief, Green Beret, Skate Aranha, Closet Case"
PURPOSE,Terrace Martin;Marcus Gilmore,48.96991381747949,,,,
A Rush To Nowhere,Arima Ederra,48.965930133210335,,,,"Charlotte Day Wilson, keiyaA, Ravyn Lenae, Mereba, Dijon, Choker, Yebba, Raveena"
Torn,Cobrah,48.87826773068827,,,,"Slayyyter, Ashnikko, Inji, Azealia Banks, Charli xcx, Peaches, Babymorocco, Robyn"
Make-up is a Lie,Morrissey,47.18286824433719,,,,"The Smiths, Johnny Marr, Suede, Pulp, Echo & the Bunnymen, Gene, R.E.M., Joy Division"
Jean,Yebba,46.7577931996322,,,,"Jazmine Sullivan, Cleo Sol, Durand Bernarr, Elmiene, Alex Isley, Sasha Keable, Tiana Major9, Mereba"
Hidden Fires Burn Hottest,Bosse-de-Nage,46.44351243551192,,,,"Yellow Eyes, Agrikulture, Mamaleek, Altar of Plagues, MØL, Terzij De Horde, Deafheaven, Lantlôs"
Hook,Pat Kelly,45.348211037958635,,,,"Delroy Wilson, The Techniques, The Gaylads, The Tennors, Derrick Morgan, The Melodians, Alton Ellis, The Ethiopians"
An Always Open Door,Endearments,44.589032956668696,,,,"Mirelight, Chéri Lubi, from drexel, Forever Honey, Warahenege, TWELVE25, Dizzy!, Tushar"
Memory Be a Blade,waterbaby,44.429061232729715,,,,"Hen Ogledd, SASSY 009, James K, SMERZ, James Blake, HAAi, Daphni"
Mosquito,Hater,44.23224709620453,,,,"Truly, Mudhoney, Screaming Trees, Brad, Green River, Love Battery, Soundgarden, Paw"
how to kiss,NOVA ONE,44.15791976662722,,,,"Mia Joy, The Sewing Club, Henry Krieger, Lunar Vacation, Lutalo, Slow Pulp, Ha Vay, Abby Sage"
Forever Beyond,Black Lung,43.46978840752826,,,,"Snog, Synapscape, Converter, Architect, Soma, Haujobb, Ah Cama-Sotz, Somatic Responses"
Emotional Virgin,EMELINE,41.29731287788657,,,,
IOWA,OHYUNG,41.10445737043808,,,,"more eaze & claire rousay, Civilistjävel!, Whatever The Weather, Yetsuby, Raisa K, More Eaze, Perila, Lucy Liyou"
Self Evident Truth,The S.E.T.,40.83023184558289,,,,"Crush Your Soul, Angel Du$t, Killing Pace, Cold World, End It, Drain, Haywire 617, Excide"
Macha Loved Bedhead - Bedhead Loved Macha,Macha Loved Bedhead;MACHA;Bedhead,40.807842224685345,,,,
Jóhann Jóhannsson: Piano Works,Jóhann Jóhannsson;Alice Sara Ott,40.639744294404544,,,,
Idol Melodies,Melodi Ghazal,39.69110804411222,,,,"Nadia Tehran, Julie Pavon, Barbro, FRAADS, Blikfang, Papa e, shinyhunt, First Flush"
Of The Earth,Shabaka,39.06021750642676,,,,"Nubya Garcia, Arooj Aftab, Shabaka And The Ancestors, Sons of Kemet, Jasmine Myra, Nala Sinephro, Amaro Freitas, Makaya McCraven"
Sessions 1981-83,Void,38.227367396636396,,,,"The Faith, Faith, The Teen Idles, Government Issue, Negative Approach, S.O.A., Poison Idea, Necros"
Skin Slip,Mute Swan,32.05621413651444,,,,"Citrus Clouds, Glia, Vicious Blossom, Morosis, Sparkler, LACING, Heavytrip, Sleep Keeper"
