"Album Name","Artist","Feedback"
"Spring Board: The Early Unrecorded Songs","The Chills","like"
"Beyond the Break","Kristin Daelyn","like"
"The Joys Of Being Pure At Heart","Hachiku","mid"
"The Joys Of Being Pure At Heart","Hachiku","mid"
"Matter Does Not Define","The Lathums","like"
"The Joys Of Being Pure At Heart","Hachiku","mid"
"Billboard Heart","Deep Sea Diver","like"
"Alter Ego","LISA,Doja Cat,RAYE","like"
"Movies","Hana Vu","mid"
"Constellations For The Lonely","Doves","like"
"Some Days I’m Good, Some Days I’m Not","Fridayy","mid"
"Roxwell","Matilda Mann","like"
"committed to a bit","corook","like"
"Dirty Talk","Michi","like"
"Erotica Veronica","Miya Folick","like"
"Wildfires","Polly Paulusma","mid"
"Middle Spoon","Cheekface","like"
"Service Station At The End Of The Universe","Antony Szmierek","mid"
"Luminescent Creatures","Ichiko Aoba","mid"
"pinball wanderer","Andy Bell","mid"
"In Space","Edith Frost","mid"
"SALVATION","Rebecca Black","dislike"
"Spirits","The Devil Makes Three","mid"
"Hope Handwritten","Hope Tala","mid"
"Monkrooms","Bedrooms,Fried Monk","like"
"Sinister Grift","Panda Bear","like"
"The Music of Tori and the Muses","Tori Amos","mid"
"They Left Me With A Gun","Paris Texas","mid"
"Lonely Mountain Town","Charles Wesley Godwin","like"
"Microtonic","bdrmm,Working Men's Club","mid"
"Blue Sky Sundays","JD Clayton","mid"
"Teeth of Time","Joshua Burnside","mid"
"pinball wanderer","Andy Bell","like"
"pinball wanderer","Andy Bell","mid"
"Want You Need","Runaway Brother","like"
"Cotton Crown","The Tubs","like"
"Gaman","Star 99","like"
