Album,Artist,gut_score,gut_score_date,source_file,notes,predicted_score
Chapter 1,SAULT,67.0,2026-01-11 13:01:09,01-09-26_Album_Recommendations.csv,,
Secret Love,Dry Cleaning,71.0,2026-01-11 14:56:32,01-09-26_Album_Recommendations.csv,,
With Heaven On Top,Zach Bryan,57.0,2026-01-12 13:20:05,01-09-26_Album_Recommendations.csv,,
Selling A Vibe,The Cribs,54.0,2026-01-12 13:41:29,01-09-26_Album_Recommendations.csv,,
BEFORE I FORGET,The Kid LAROI,57.0,2026-01-12 13:55:59,01-09-26_Album_Recommendations.csv,,
Quicksand Heart,Jenny on Holiday,65.0,2026-01-12 14:26:34,01-09-26_Album_Recommendations.csv,,
A Binding Life,Home Star,85.0,2026-01-13 15:44:24,01-09-26_Album_Recommendations.csv,,
Tempelschlaf,The Ruins Of Beverast,30.0,2026-01-13 15:44:51,01-09-26_Album_Recommendations.csv,,
Within Dreams,Feels Like Heaven,40.0,2026-01-13 15:45:05,01-09-26_Album_Recommendations.csv,,
III,Pullman,59.0,2026-01-13 15:45:29,01-09-26_Album_Recommendations.csv,,
Powder Keg,Clémentine March,45.0,2026-01-13 15:45:49,01-09-26_Album_Recommendations.csv,,
Desert So Green,Winged Wheel,37.0,2026-01-13 15:46:16,01-09-26_Album_Recommendations.csv,,
"XO, My Cyberlove",CHUU,62.0,2026-01-13 15:48:18,01-09-26_Album_Recommendations.csv,,
Tragic Magic,Julianna Barwick;Mary Lattimore,61.0,2026-01-16 19:29:25,01-16-26_Album_Recommendations.csv,,
Celestun,Tyler Ramsey;Carl Broemel,54.0,2026-01-16 19:29:37,01-16-26_Album_Recommendations.csv,,
Your Picture,The Sha La Das,53.0,2026-01-16 19:29:42,01-16-26_Album_Recommendations.csv,,
Don't Be Dumb,A$AP Rocky,57.0,2026-01-16 19:29:46,01-16-26_Album_Recommendations.csv,,
Jana Horn,Jana Horn,50.0,2026-01-16 19:29:55,01-16-26_Album_Recommendations.csv,,
Valentine,Courtney Marie Andrews,65.0,2026-01-16 20:46:22,01-16-26_Album_Recommendations.csv,,
BRITPOP,Robbie Williams;Tony Iommi,44.0,2026-01-17 16:44:57,01-16-26_Album_Recommendations.csv,,
Oxis 8,Oxis,73.0,2026-01-17 16:59:05,01-16-26_Album_Recommendations.csv,,
Irreversible,Brigitte Calls Me Baby,80.0,2026-03-14 14:24:35,03-13-26_Album_Recommendations.csv,A little dreamier than paste efforts.,
Mud Blood Bone,Cat Clyde,92.0,2026-03-14 16:18:27,03-13-26_Album_Recommendations.csv,My favorite rock-a-billy influenced folk singer.,
Only You Left,The Orielles,65.0,2026-03-14 16:28:43,03-13-26_Album_Recommendations.csv,"A little too lowkey, slightly if dry cleaning was 40% more bedroom pop.",
GOLDSTAR,The Sophs,77.0,2026-03-14 16:46:55,03-13-26_Album_Recommendations.csv,"A touch of camp, indie-rock for the girls, and alt-radio bois. But it's vibey.",
You’re Free to Go,Anjimile,79.0,2026-03-15 18:33:48,03-13-26_Album_Recommendations.csv,Reminds me a little of Mon Rovia. Same lane.,
The Wake,Foy Vance,57.0,2026-03-15 19:03:48,03-13-26_Album_Recommendations.csv,,
Transmitter,Cut Worms,81.0,2026-03-15 19:34:53,03-13-26_Album_Recommendations.csv,,
Clearly Cursed,PONY,90.0,2026-03-15 20:09:58,02-13-26_Album_Recommendations.csv,One of my top listened to albums of the first 3 months.,
Trying Times,James Blake,75.0,2026-03-15 21:06:51,03-13-26_Album_Recommendations.csv,,
Lotus Bridge,The Monochrome Set,62.0,2026-03-15 21:45:53,03-13-26_Album_Recommendations.csv,,
Monica,Jack Harlow,70.0,2026-03-16 09:40:07,03-13-26_Album_Recommendations.csv,,
Preservers Of The Pearl,Daniel Romano;The Outfit,63.0,2026-03-16 10:06:24,03-13-26_Album_Recommendations.csv,,
Don't Blame The Peach,Twat Union,80.0,2026-03-16 14:15:52,02-20-26_Album_Recommendations.csv,"It's a bit crass, but girly british punk is a genre I do enjoy.",
Boycott Heaven,The Format,83.0,2026-03-16 21:29:20,01-23-26_Album_Recommendations.csv,Great to have Nate back!,
Better in My Head,Kiss the Scientist,68.0,2026-03-17 10:22:06,03-13-26_Album_Recommendations.csv,,
Move On With The Year,Alice Costelloe,58.0,2026-03-17 11:54:28,02-06-26_Album_Recommendations.csv,,
Act I,Kashus Culpepper,55.0,2026-03-17 12:45:10,01-23-26_Album_Recommendations.csv,,
Greyhound,Katie Tupper,66.0,2026-03-17 13:12:12,01-23-26_Album_Recommendations.csv,,
It Could Be Worse,Samm Henshaw,86.0,2026-03-17 13:22:01,01-23-26_Album_Recommendations.csv,"Soulful, orchestrated, vibey.",
