Artist,Similar Artists,Play Count
Squid,"Shame, BLACK MIDI, Squid & Martha Skye Murphy, Geese, Black Country, New Road",11
Sharon Van Etten,"Angel Olsen, Julia Jacklin, Aldous Harding, Cat Power, Waxahatchee",21
Miya Folick,"Caroline Rose, hannah jadagu, sjowgren, Samia, Indigo De Souza",2
Michigander,"Wilderado, Joe P, Krooked Kings, GRMLN, Your Neighbors",25
Trinelise Væring,"Jennifer Christine, Coldplayers, Tobias Trier, Maria Montell, Citybois",1
Bonnie Prince Billy,"Palace Music, Will Oldham, Palace Brothers, Bill Callahan, Smog",1
Lily Talmers,"Birchwood Ave, Natalie Jane HIll, Erin Durant, Elizabeth Moen, Daughter of Swords",1
Conor Oberst,"Bright Eyes, Conor Oberst and the Mystic Valley Band, Desaparecidos, Monsters of Folk, Better Oblivion Community Center",1
Bright Eyes,"Conor Oberst, Conor Oberst and the Mystic Valley Band, Desaparecidos, Neva Dinova, The Good Life",1
Freelance Whales,"Faded Paper Figures, Electric President, Ra Ra Riot, Sea Wolf, Headlights",1
Toledo,"Runnner, Cal in Red, Ethan Tasch, Husbands, Adam Melchor",1
Great Grandpa,"Hop Along, ratboy, Remember Sports, Tancred, Cayetana",1
Matt Pond PA,"Rogue Wave, Maritime, Longwave, Guster, The Long Winters",18
Matthew Logan Vasquez,"Actual Wolf, The Texas Gentlemen, Quiet Hollers, The Yawpers, Paul & The Tall Trees",2
Mimicking Birds,"Saintseneca, Typhoon, Foreign Fields, Right Away, Great Captain!, Sea Wolf",1
Sly Jr.,"Ethansroom, More&More, thebandfriday, New Translations, frown line",1
Wild Pink,"good looks, This is Lorelei, Liquid Mike, ratboy, 2nd Grade",2
Truman Sinclair,"Fat, Evil Children, Jeff Lamb, Cayden Wemple, Renny Conti, Pem",1
Dawes,"The Avett Brothers, Josh Ritter, Hiss Golden Messenger, Blitzen Trapper, Deer Tick",1
There Will Be Fireworks,"Frightened Rabbit, Owl John, Moving Mountains, We Were Promised Jetpacks, The Twilight Sad",1
Cloakroom,"Greet Death, Nothing, Grivo, Hum, Gleemer",1
Katy Goodman,"Katy Goodman & Greta Morgan, Elk City, Kayleigh Goldsworthy, Annie Eve, The Chapin Sisters",1
Free Range,"E.L.I., Map.ache, Avalon Emerson, Volcano Choir, Califone",1
Brigitte Calls Me Baby,"86TVs, BBY, Quivers, Hamish Hawk, King Hannah",1
My Morning Jacket,"Monsters of Folk, Wilco, Band of Horses, The War on Drugs, Fruit Bats",1
Craig Finn,"The Hold Steady, Jesse Malin, Kevin Devine, Jeff Tweedy, Waxahatchee",1
Iron & Wine,"Iron & Wine and Calexico, Alexi Murdoch, Horse Feathers, Blind Pilot, M. Ward",1
Blind Pilot,"The Head and the Heart, Horse Feathers, Alexi Murdoch, Gregory Alan Isakov, Great Lake Swimmers",1
Clem Snide,"Micah P. Hinson, Iron & Wine and Calexico, Calexico, Clinic, Richard Buckner",1
Friko,"This is Lorelei, Office dog, Blue Bendy, Been Stellar, Black Country, New Road",1
Moonchild Sanelly,"Anna Erhard, Zzzahara, Self Esteem, Sad Night Dynamite, Katy J Pearson",1
Franz Ferdinand,"Kaiser Chiefs, FFS, Kasabian, The Fratellis, Interpol",11
