Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin
Hope You Find What You're Looking For,Out Of The Blue,Morgan Saint,2025-02-14,190834,12,"female vocalist, electronic, indie, pop, chill, experimental, indie pop, experimental pop, minimal, dream pop",4Love,0.748,0.486,6.0,-8.898,1.0,0.0372,0.722,0.00154,0.092,0.696,104.993,100.0,df_liked
I Can't Get My Head Around You,Drop Cherries,Billie Marten,2023-04-07,206427,40,"female vocalist, female vocalist, indie, folk, indie pop, british, singer-songwriter, england, indie folk, pop",Fiction Records,0.529,0.578,8.0,-7.853,1.0,0.0272,0.498,0.0467,0.108,0.627,145.783,100.0,df_liked
Dangerous,Blondshell,Blondshell,2023-04-07,278984,0,"female vocalist, female vocalist, indie rock, dream pop, indie, indie pop, grunge, usa, alternative rock, folk",PTKF,0.345,0.223,9.0,-12.807,1.0,0.0324,0.317,0.00458,0.115,0.235,183.898,100.0,df_liked
Devil Swim,Drop Cherries,Billie Marten,2023-04-07,216714,22,"female vocalist, female vocalist, indie, folk, indie pop, british, singer-songwriter, england, indie folk, pop",Fiction Records,0.348,0.185,9.0,-13.256,1.0,0.0356,0.942,0.0127,0.362,0.295,66.771,100.0,df_liked
Tongue,Drop Cherries,Billie Marten,2023-04-07,250541,19,"female vocalist, female vocalist, indie, folk, indie pop, british, singer-songwriter, england, indie folk, pop",Fiction Records,0.399,0.174,0.0,-12.344,1.0,0.033,0.982,0.0663,0.11,0.153,137.665,100.0,df_liked
This Is Paradise (But Not For Us),Strange Strangers,Devon Church,2023-04-07,317368,1,"indie rock, folk, dub, shoegaze, dream pop, folk rock, indie folk, folk pop, united states, dream-pop",felte,0.293,0.598,4.0,-7.561,1.0,0.0385,0.00739,8.91e-05,0.079,0.391,183.905,100.0,df_liked
Time To Pretend,Time To Pretend,Charlie Hickey,2023-03-21,208050,16,"indie, folk, indie pop, indie rock, american, indie folk, 2020s, saddest factory records, dingocore",Dead Oceans,0.689,0.259,2.0,-11.673,1.0,0.0333,0.869,2.92e-05,0.0984,0.341,99.95,100.0,df_liked
New Suede Shoes,Winner,Overcoats,2023-04-07,151023,10,"female vocalist, electronic, pop, indie pop, indietronica, usa, alternative pop, alternative rnb, alternative, soft rock",Never Fall Back Records,0.654,0.721,4.0,-7.273,1.0,0.13,0.334,7.77e-05,0.0686,0.732,159.815,100.0,df_liked
Tramp Like You,Hydranism,Oracle Sisters,2023-04-07,324959,0,"indie pop, dream pop, french, indie, france, indie rock, acoustic, synth pop, soft rock, folk rock",22TWENTY,0.597,0.193,4.0,-14.156,1.0,0.039,0.896,0.562,0.0508,0.0749,140.012,100.0,df_liked
Hum with the worms,What a beautiful thing i have made,The Hackles,2023-04-07,246367,0,"folk, country",Jealous Butcher Records,0.688,0.468,5.0,-13.865,1.0,0.0492,0.603,0.113,0.12,0.246,110.134,100.0,df_liked
