Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
Kesha,. (...),BOY CRAZY. (feat. JADE),,2025-07-08,0.0,0,0.0,0.0,0.0,,65.21668333333334,Spotify,,,,
The Minus 5,"Oar On, Penelope!",Words & Birds,"alt country,power pop",2025-05-30,0.0,0,0.0,0.0,0.0,,37.54751666666667,Spotify,,,,
Yo La Tengo,Old Joy,Path to Springs,"dream pop,slowcore",2025-02-28,0.0,0,0.0,0.0,0.0,,25.933333333333334,Spotify,,,,
Matt Embree,Orion,Summer House Savior,,2025-03-07,0.0,0,0.0,0.0,0.0,,27.104166666666668,Spotify,,,,
Trapper Schoepp,Osborne,Loaded,americana,2025-09-19,0.0,0,0.0,0.0,0.0,,39.69728333333333,Spotify,,,,
Morgan Saint,Out Of The Blue,Did You Lose Your Heart,,2025-02-14,0.0,0,0.0,0.0,0.0,,35.05683333333333,Spotify,,,,
MARINA,PRINCESS OF POWER,CUNTISSIMO,,2025-06-06,0.0,0,0.0,0.0,0.0,,47.75735,Spotify,,,,
Ruston Kelly,"Pale, Through the Window",Me and You,"americana,alt country",2025-09-12,0.0,0,0.0,0.0,0.0,,48.5284,Spotify,,,,
Great Grandpa,"Patience, Moonbeam",Junior,indie punk,2025-03-28,0.0,0,0.0,0.0,0.0,,38.32615,Spotify,,,,
Sam Fender,People Watching,People Watching,,2025-02-21,0.0,0,0.0,0.0,0.0,,48.540616666666665,Spotify,,,,
Horsegirl,Phonetics On and On,Switch Over,lo-fi indie,2025-02-14,0.0,0,0.0,0.0,0.0,,37.78828333333333,Spotify,,,,
S.G. Goodman,Planting by the Signs,Fire Sign,"southern gothic,alt country",2025-06-20,0.0,0,0.0,0.0,0.0,,48.11885,Spotify,,,,
Small Shake,Platonics,Historical Event,,2025-08-22,0.0,0,0.0,0.0,0.0,,19.44923333333333,Spotify,,,,
MØ,Plæygirl,Keep Møving,,2025-05-16,0.0,0,0.0,0.0,0.0,,35.51238333333333,Spotify,,,,
Indigo De Souza,Precipice,Crush,,2025-07-25,0.0,0,0.0,0.0,0.0,,31.722933333333334,Spotify,,,,
