Artist Name,Album,Best Song,Genre,Release Date,Similar Artists,Album Length,Discovery Method,Album Art URL,Record Label,Track Count,Avg Popularity,Avg Danceability,Avg Energy
Kesha,. (...),BOY CRAZY. (feat. JADE),,2025-07-08,,65.21668333333334,Spotify,,Kesha Records,20,43.2,0.63135,0.7566500000000002
Polo & Pan,22:22,Petite Etoile,"french indie pop,french house",2025-03-28,,48.96483333333333,Spotify,,Universal Music Division Virgin Music Distribution Deal,12,45.166666666666664,0.6454166666666666,0.6965833333333332
Slow Joy,A Joy So Slow At Times I Don't Think It's Coming,Gruesome,"shoegaze,midwest emo",2025-05-16,,31.754816666666667,Spotify,,Mick Music,13,28.53846153846154,0.4867692307692308,0.6396923076923078
Laufey,A Matter of Time,Lover Girl,,2025-08-22,,45.55105,Spotify,,Vingolf Recordings,14,70.5,0.4525,0.3152142857142857
Matt Maeson,A Quiet and Harmless Living,Cursive (feat. Manchester Orchestra),,2025-09-12,,37.83505,Spotify,,Atlantic Records,10,53.5,0.49119999999999997,0.3869
Runnner,A Welcome Kind of Weakness,Claritin,,2025-08-29,,37.749266666666664,Spotify,,Run For Cover Records,11,27.363636363636363,0.4178181818181818,0.6067272727272729
Cardi B;Summer Walker,AM I THE DRAMA?,Safe (feat. Kehlani),r&b,2025-09-19,,71.014,Spotify,,Atlantic Records,23,70.34782608695652,0.766391304347826,0.5970869565217392
Ric Wilson,AMERICA RUNS ON DISCO,They Can't Get Next to You,,2025-06-20,,19.413083333333333,Spotify,,Free Disco / EMPIRE,7,9.285714285714286,0.819,0.5318571428571428
Σtella,Adagio,Adagio,,2025-04-04,,26.562533333333334,Spotify,,Sub Pop Records,9,44.44444444444444,0.6673333333333333,0.528
Alan Sparhawk;Trampled by Turtles,Alan Sparhawk with Trampled by Turtles,Stranger,"bluegrass,newgrass,americana,folk,alt country",2025-05-30,,32.0527,Spotify,,Sub Pop Records,9,31.11111111111111,0.4795555555555556,0.33011111111111113
David Ramirez,All The Not So Gentle Reminders,Waiting On The Dust To Settle,americana,2025-03-21,,50.72436666666667,Spotify,,Blue Corn Music,12,14.916666666666666,0.5609166666666667,0.4886666666666666
LISA;Doja Cat;RAYE,Alter Ego,Born Again (feat. Doja Cat & RAYE),k-pop,2025-02-28,,42.74393333333333,Spotify,,Lloud Co./RCA Records,15,66.26666666666667,0.6751333333333334,0.7506
Craig Finn,Always Been,Luke & Leanna,,2025-04-04,,49.73283333333333,Spotify,,Tamarac,11,25.545454545454547,0.5517272727272727,0.7428181818181817
SG Lewis,Anemoia,Baby Blue (feat. Oliver Sim),,2025-09-05,,40.98015,Spotify,,Forever Days / Positiva,10,47.8,0.6494,0.8787
Denison Witmer;Sufjan Stevens,Anything At All,Shade I'll Never See,baroque pop,2025-02-14,,34.69193333333333,Spotify,,Asthmatic Kitty,10,13.7,0.5496,0.3367
Common Holly,Anything glass,Terrible hands,indie québécois,2025-06-13,,32.2576,Spotify,,Keeled Scales,10,7.8,0.4404,0.20398
The Head And The Heart,Aperture,After The Setting Sun,"indie folk,folk pop,folk",2025-05-09,,45.25905,Spotify,,Verve Forecast,12,39.5,0.592,0.6224999999999999
Sunny War,Armageddon In A Summer Dress,Cry Baby - feat. Valerie June,"folk punk,americana",2025-02-21,,37.86666666666667,Spotify,,"New West Records, LLC",11,17.181818181818183,0.43700000000000006,0.7364545454545456
Gigi Perez,"At The Beach, In Every Life",Sailor Song,,2025-04-25,,93.56353333333334,Spotify,,"Outtahere, LLC / Island Records",24,61.666666666666664,0.40025,0.464
Far Caspian,Autofiction,A Drawing Of The Sun,"lo-fi indie,dream pop",2025-07-25,,43.06921666666667,Spotify,,Tiny Library Records Under Exclusive Licence To Dance To The Radio,11,33.18181818181818,0.5891818181818181,0.8333636363636365
Blasé,BLABLABLA,Different Mind,,2025-03-14,,43.30925,Spotify,,Record Makers,15,23.733333333333334,0.6942666666666665,0.6806666666666666
Fruit Bats,Baby Man,Baby Man,,2025-09-12,,29.0604,Spotify,,Merge Records,10,32.2,0.5854999999999999,0.07535
