Rank,Cover Art,Artist Name,Album,Best Song,Genre,Release Date,Mini-Review,Personal Anecdotes
1,,Kesha,. (...),BOY CRAZY. (feat. JADE),,2025-07-08,,
1,,The Minus 5,"Oar On, Penelope!",Words & Birds,"alt country,power pop",2025-05-30,,
1,,Matt Embree,Orion,Summer House Savior,,2025-03-07,,
1,,Trapper Schoepp,Osborne,Loaded,americana,2025-09-19,,
1,,Morgan Saint,Out Of The Blue,Did You Lose Your Heart,,2025-02-14,,
1,,MARINA,PRINCESS OF POWER,CUNTISSIMO,,2025-06-06,,
1,,Ruston Kelly,"Pale, Through the Window",Me and You,"americana,alt country",2025-09-12,,
1,,Great Grandpa,"Patience, Moonbeam",Junior,indie punk,2025-03-28,,
1,,Sam Fender,People Watching,People Watching,,2025-02-21,,
1,,Horsegirl,Phonetics On and On,Switch Over,lo-fi indie,2025-02-14,,
1,,S.G. Goodman,Planting by the Signs,Fire Sign,"southern gothic,alt country",2025-06-20,,
1,,MØ,Plæygirl,Keep Møving,,2025-05-16,,
1,,Indigo De Souza,Precipice,Crush,,2025-07-25,,
1,,Big Freedia,Pressing Onward,Celebration (feat. Dawn Richard),"new orleans bounce,bounce,ballroom vogue",2025-08-08,,
1,,Amber Mark,Pretty Idea,Don't Remind Me (with Anderson .Paak),"alternative r&b,indie soul",2025-10-10,,
1,,We Are Scientists,Qualifying Miles,The Big One,indie rock,2025-07-18,,
1,,Cola Boyy,Quit to Play Chess,Babylon,,2025-05-23,,
1,,Salin,Rammana,Egungun,,2025-03-28,,
1,,Youth Lagoon,Rarely Do I Dream,Football,"dream pop,chillwave",2025-02-21,,
1,,Hotline TNT,Raspberry Moon,The Scene,shoegaze,2025-06-20,,
1,,Neal Francis;Say She She,Return To Zero,Need You Again (feat. Say She She),retro soul,2025-03-14,,
1,,The Knocks;Dragonette,Revelation,Love Me Alive,"nu disco,alternative dance",2025-06-06,,
1,,Cuco,Ridin',ICNBYH,bedroom pop,2025-05-09,,
1,,Matilda Mann,Roxwell,Everything I'm Not,,2025-02-28,,
1,,JENNIE;FKJ,Ruby,Seoul City,k-pop,2025-03-05,,
1,,Bon Iver,"SABLE, fABLE",S P E Y S I D E,,2025-04-11,,
1,,John K,SALT + LIGHT,Broken,,2025-07-18,,
1,,Chance the Rapper,STAR LINE,Drapetomania (feat. BabyChiefDoit),,2025-08-15,,
